title,company,location,description,link,relevant,keyword
Part time - Credit Control/Business Support Opportunity,Graduate (The),Northamptonshire,"Culture - Everyone Matters.Everyone has a voice and the chance to make a difference. Their training ensures everyone has the opportunity to gain funded professional qualifications and continuous personal development. Teamwork is a fundamental part of how they work and as a collective unit we focus on achieving their goals together. Having fun, working hard and sharing in the company’s success ensures they keep true to their ethos.NATURE OF BUSINESS: Provide building repairs and catastrophic disaster management. They use a mix of their own Site Operatives and a network of specialist contractors to provide repairs to varying degrees of property damage.Company Accreditations:The Client is passionate about training within their organisation. Their employees are able to progress their professional qualifications and continually develop their skills within the industry.With roots firmly in repair and construction, dealing with unusual and sometimes unconventional projects, they have set out to become a repair and construction company with a real difference. They are members of the Charted Institute of Building (CIOB) and undertake professional qualifications within the membership to expand knowledge and experience in the industry. Their staff members also undertake examinations and progression through the Charted Institute of Insurance (CII) and other professional bodies dependent on the role. JOB TITLE: Part time - Credit Control/Business Support OpportunityAn opportunity for a candidate looking for a varied role on a part time basis. Working from the bespoke claims management system.Ledgers will be sent out weekly in order for a debt to be chased. Some insurers are on a bordereau system so alignment of what has been sent on the bordereau and what has been paid needs to be reconciled.From the ledger sheet go onto the claim and call the handler on file to chase payment.Escalation of repair invoicesThis role must be telephone based as opposed to email with the aim of forging relationships in order to progress future payments.Daily tasks will involve the following:Client Fees/Repair Invoices - (Bordereaux clients excluded)1. Call to client to request update after due datea. Prioritized by value & age2. Update notes to ledger sheet & onto Helios call log3. 2nd call if still on next ledger & update notes4. If nothing firm and still due on next ledger evaluate for escalationClient VAT Invoices1. Initial email to client warning that legal action may follow2. 2nd email if still on next ledger giving 48hr warning to pass to debt control3. Final call to client after warning period4. Submit to director to send to client for Letter Before Action (7-day warning)5. Submit to Director to progress to court action PERSON SPEC:KNOWLEDGE, SKILLS & EXPERIENCE NECCESSARY:Computer literate (MS Office - especially Excel and Word)High level of numerical skills.Proven administration/customer focused experienceProven experience of communicating with customers over the telephoneClear and concise communication – written and verbal.CORE COMPETENCIES:Strong interpersonal skills.Enthusiastic, proactive and ‘can do’ attitude.Ability to prioritise workload and meet to deadlines.Excellent accuracy and attention to detail.Can work independently and as a part of a teamAssertiveness A strong yet customer friendly telephone mannerAccountable and ability to make decisionsProblem Solving HOURS OF WORK: Circa 16 hours per week – ideally 2 full days but 3 days will be consideredSTARTING SALARY: Competitive (£12.00 – 14.50 per hour) HOLIDAY: Pro Rata - 25 days plus bank holidays, an extra 16 hours of time off in lieu taken at no more than two-hour slots which equates to the total of 27 days plus bank holidays. An additional day is also given for your Birthday if it falls on a weekday.BENEFITS: Excellent progression. Company pension which increases with time served, an industry leading maternity policy, £500 wellbeing payment at annual review, loyalty bonus at milestone years, Support to continue training and paid for professional qualifications, access to a Rising Stars programme and equal support for mental and physical wellbeing.HEATH & Safety: No current issues to report on siteTo apply please send your CV to candidate@thegraduaterecruitment.co.uk quoting TGR3056https://www.thegraduaterecruitment.co.uk/vacancy/part-time-credit-control-business-support-opportunity",https://findajob.dwp.gov.uk/details/13924561,,0
Personal Assistant - 20 Hours Per Week (SDS/LE/270694),Self Direct Support Options Fife,"Methil, Leven","Female applicants only please - due to the personal care elements of this role an Occupational Requirement applies. This is permitted under Schedule 9, Part 1 of the Equality Act 2010.Working Hours - Monday – Friday - 10.00am – 2.00pm. We are looking for personal assistant to help a 34-year-old to provide companionship to a fun-loving, bubbly lady with a great sense of humour. She enjoys swimming, gardening, doing jig saws and going out on her scooter. She is very sociable and loves meeting new people. She enjoys going out on the bus and outings further afield.If you are interested in the post, please write a short paragraph about yourself and what has interested you in the role. This will allow the client to gain a picture of who will best connect with her. She has autism and supporting her to continue her activities would allow her to keep her independence and feel valued. Applicants must have a caring attitude, have a good sense of humour, be reliable with a positive and flexible approach to work. Having experience within this area would be of benefit.Duties & Responsibilities• Accompanying to social activities.• Provision of reassurance when undertaking activities. • Provision of companionship and conversation.• Promotion of being treated as an individual, supporting choices and decisions. Driver essential – travel expenses covered to /from activitiesMember of the PVG Membership Scheme or a willingness to have a PVG Check Undertaken.To apply for this post please submit a copy of your CV quoting the job reference number above by email recruitment@sdsoptionsfife.org.uk or by post to SDS Options (Fife), DPHS Fife, Caledonia House, Pentland Park, Saltire Centre, Glenrothes, Fife, KY6 2AQ",https://findajob.dwp.gov.uk/details/13924560,,0
Welcome & Service Assistant,National Trust,BA2 6BD,"As the public face of our properties, you’ll provide a warm, friendly welcome, give information about the property, answer questions and make sure everyone has an enjoyable and memorable visit.Salary: £2587.20Contract/duration: PermanentHours/working pattern: 240 per annum. Weekly rota specified in advance. Additional are available.What it's like to work hereReporting to the Welcome Manager, you’ll be part of a team of four working at Prior Park in Bath.Prior Park Landscape Garden is on an elevated spot approximately a mile outside of Bath. It was chosen by Ralph Allen in the 18th Century to show off his estate to the city. The landscape garden that he created captures a moment in time: 1764, the year of Allen's death. There is a lot to discover, including winding paths to hidden retreats , dramatic views over Bath and a rare Palladian Bridge.What you'll be doingDay to day, you’ll deliver a great all-round customer service experience. You’ll be on hand answering queries and listen to what our visitors need so you can share the right information. Your role is to make sure our visitors have the best day they can. You’ll have the chance to be involved in different aspects of the visitor experience, from key property events to social media promotion - no two days are the same.Great visitor experiences are in our nature, and we believe everyone should feel welcomed, appreciated and more engaged because of the excellent service you provide. This role would suit anyone with a passion for delivering great customer service.  Who we're looking forWe'd love to hear from you if you are:customer focused with an understanding of the importance of great servicea team player, but also can work on your own initiativewell organised and adaptablewilling to learn new skillshave a positive attitude The packageThe National Trust has the motto ‘For everyone, for ever’ at its heart. We’re working hard to create an inclusive culture, where everyone feels they belong. It’s important that our people reflect and represent the diversity of the communities and audiences we serve. We welcome and value difference, so when we say we’re for everyone, we want everyone to be welcome in our teams too.Substantial pension scheme of up to 10% basic salaryFree entry to National Trust places for you, a guest and your children (under 18)Tax-free childcare schemeRental deposit loan schemeSeason ticket loanPerks at work discounts such as gym memberships, shopping discount codes, cinema discountsHoliday allowance up to 32 days relating to length of service, plus holiday purchase scheme, subject to meeting minimum criteria.Flexible working whenever possibleEmployee assistance programmeFree parking at most Trust placesIndependent financial advice",https://findajob.dwp.gov.uk/details/13924559,,0
84177 - Senior Admin Officer - Corporate Support,Ministry of Justice,"West Midlands, UK","
                    We encourage applications from people from all backgrounds and aim to have a workforce that represents the wider society that we serve. We pride ourselves on being an employer of choice. We champion diversity, inclusion and wellbeing and aim to create a workplace where everyone feels valued and a sense of belonging. To find out more about how we do this visit: https://www.gov.uk/government/organisations/ministry-of-justice/about/equality-and-diversity.Overview of the job This is a co-ordination and senior administrative role in the Divisional office, Function / Cluster local offices.The jobholder will provide corporate support office-based activities to support the work of the Divisional and operational teams.The jobholder acts as an interface between the Hub Manager, Business Manager and colleagues and other partners on a wide range of issues.The job holder will report to the Hub Manager in Divisional offices and Business Manager in Function or Cluster offices and will have line management responsibilities for Administrative Assistants, Case Administrators and other administrative staffSummary The purpose of the role is to ensure efficient and effective business support and operational administrative services are provided to the Division, Function or Cluster.The jobholder will support the Business Manager to ensure effective compliance with Health, Safety and Fire Regulations, acting as Single Point of Contact / Estates Liaison Officer for the buildings from which they operate.In line with NPS policies and procedures, the job holder must at all times demonstrate a commitment to equality and inclusion and an understanding of their relevance to the work they do.The post holder must adhere to all policies in respect of the sensitive/confidential nature of the information handled whilst working in this positionResponsibilities, Activities & Duties The job holder will be required to carry out the following responsibilities, activities and duties:Management Support• Development and implementation of business administration systems, databases and recording systems to support operational probation delivery.• Preparation and collation of a range of documentation for a variety of purposes to support effective divisional, functional or cluster business activity and operational probation delivery• Maintenance of ( or supporting the relevant Business Manager to maintain) Divisional, functional or cluster Registers such as Serious Further Offences, Freedom of Information, Accidents, Complaints, inputting data, monitoring agreed probation processes and ensuring completion in specified timescales• Collection and distribution of monies to/from Imprest, and maintenance of related records.• Act as Vetting Contact Point for the relevant division, function or cluster• Monitor Travel Warrants, Bus passes, cheque book requests and assist with Purchase Orders where required, and within the agreed procurement arrangements• Attend meetings and events to represent the relevant Business Manager as agreed from time to timeHealth, Safety & Fire• Ensure the timely reporting of problems, including repairs, defects and security issues with the building(s) to facilities contractors and maintain progress to reach satisfactory conclusions and ensure equipment is in good working order.• Undertake and co-ordinate health and safety risk assessments, fire drills and ergonomic assessments at the relevant sites, or ensure they are undertaken. Reporting issues locally and to the Divisional HS&F Manager. Maintaining registers and coordinating training.• Act as Cardinus Assessor, First Aider and Fire Warden and take forward actions to deal with local issues arising from incidents and DSE Assessments, or ensure that there are sufficient people able to undertake these roles at the relevant sites.Effectively Manage and Develop staff• To provide effective management and leadership to the team• To proactively manage staff development, issues of underperformance, attendance, health and safety, employee relations and diversity matters. Adopt a consistent, fair and objective standpoint when making decisions in relation to individual staff issues• Contribute to relevant training and development events as a trainer• Support recruitment activity for relevant posts within the cluster/divisionUse communication effectively• Write reports to support the effective operation of the Division/Cluster/Function• Participate in meetings where appropriate, using appropriate skills, styles and approaches• Contribute to the management of the Division/Cluster/FunctionEnhance your own performance• Manage own resources and take responsibility for own professional development                ",https://findajob.dwp.gov.uk/details/13924558,,0
Chef de Partie,Indeed Flex,Cardiff,"Join Indeed Flex as a Chef de Partie!At Indeed Flex we provide opportunities for flexible, part-time and temporary work for Chefs in and around Cardiff. Whether it's 5-star hotels, renowned restaurants, or exciting events, Flex can help you find work that fits your schedule and lifestyle.Salary: £15.63 per hour, PLUS holiday pay accrued at a rate of 12.07%. Shifts: Flexible, temporary. Requirements:- MUST be 18 or over with the right to work in the UK. - MUST have a minimum of 6 months experience working as a Chef de Partie.- Food Safety Level 2 certification and Allergen Awareness certification. - Capacity to work across all kitchen sections and assist junior staff during service. Why Choose Indeed Flex?- Instant Pay: allowing you greater financial freedom in getting paid straight after a shift!- Our Refer a Friend programme*: You and your friend can earn £40 each, when you refer them to Indeed Flex.- Comprehensive Benefits**: Enjoy the perks of having a digital GP, physiotherapy, 24/7 mental health support, and a wide array of additional benefits.IMPORTANT - How to prepare for your interview:- You MUST bring your Right to Work documents to your virtual interview. - Download the Indeed Flex app and set up your profile either from The App Store or Google Play, and complete your profile (making sure to add in your skills and experience, location, bank details etc).You can download the Indeed Flex app using one of the link below:https://bit.ly/indeedflex-appstorehttps://bit.ly/indeedflex-googleplayBook your virtual interview now!*For details of our Flexer benefits, visit: https://indeedflex.co.uk/flexer-benefits/**For details of our Friends of Flexers referral scheme, visit: https://indeedflex.co.uk/worker-incentives-and-referral-bonuses/",https://findajob.dwp.gov.uk/details/13924557,,0
Teaching Assistant (Level 2),The Howard Partnership Trust,"Oxted, Surrey","We have an exciting opportunity for two Teaching Assistants to join the Inclusion SEN support team at Oxted School. The role will assist an individual teacher, or teachers, in delivering and evaluating programmes and adapting teaching materials to suit the particular requirements of specific pupils and groups which may include pupils with special needs.Working Pattern: TERM TIME ONLY - Monday to Friday 8.30am to 4.12pm with a 30 minute unpaid lunch break. Up to 36 hours per week/39 weeks per year (term time only). Two or three days a week may be considered. Pro rata salary is based on working 36 hours per week/39 weeks per year. We have an exciting opportunity for two Teaching Assistants to join the team at Oxted School. The role will assist an individual teacher, or teachers, in delivering and evaluating programmes and adapting teaching materials to suit the particular requirements, of specific pupils and groups which may include pupils with special needs. Using specialist training and relevant experience to provide a level of support for individual pupils and groups of pupils whose needs may require support. *Local Government Pension Scheme, including generous employer contributions *Cycle to work/Technology scheme, Sainsbury's Loyalty Discount and access to other discount schemes *Free Flu Vaccinations and Eye tests *Employee Assistance Programme﻿ *Access to GymFlex*Long service award*Long service awardOur reflective and skilled staff and wonderful students make Oxted School a rewarding and invigorating place to work. Our exceptional staff care about our pupils and really do ‘Bring out the Best’ in everyone. The inclusive community values, which are so important to us, mean that you will be well supported by both your colleagues and the Senior Leadership Team. We pride ourselves on the high-quality professional development and career progression opportunities available to all our colleagues, and we work hard to ensure that staff wellbeing and workload are central to our approach. Our colleagues also thrive on their commitment to our wide range of extra-curricular activities, including being one of the largest Duke of Edinburgh centres in the country. If you have any questions about the role or the application process please contact the THPT HR Team by email at hrteam@oxted.thpt.org.uk All adults employed by the Trust have a responsibility for data protection and have a duty to observe and follow the principles of the GDPR Regulations. The Howard Partnership Trust welcomes applications from all, irrespective of gender, marital status, disability, race, age or sexual orientation. All applicants must be able to provide evidence of their Right to Work in the UK prior to commencement of employment. As part of our need to comply with UK immigration rules, you will be required to provide Home Office stipulated documentation prior to interview. Early applications are encouraged. We reserve the right to interview and appoint prior to the closing date of this advertisement.",https://findajob.dwp.gov.uk/details/13924556,,0
4x4 Delivery Driver,GTAccess Ltd,Luton,"We are currently looking for an Experienced 4x4 & Trailer Driver (with the potential of future Class 2 Training) to join the team at our LUTON depot delivering and operating Access Equipment throughout the region.GTAccess is one of the largest independently owned powered access companies in the UK, delivering powered access platforms to our hire customers from our depots in Brentwood, Bridgend, Bromsgrove, Gloucester, Hailsham, Hereford, London, Luton, NEC, Peterborough, Shrewsbury and Stoke on Trent.The role is offered on a permanent basis.• You must towing experience along with an in date CPC card and Digital Tachograph• You will need to develop good working relationships with colleagues and customers and have the ability to resolve queries wherever possible• Experience within the plant delivery industry would be advantageous however, all relevant training will be provided.• Duties will include:o Contributes to team efforto Delivery of Access Equipment o Maintain a safe and clean working environment by complying with procedures, rules, and regulations.Skills and Qualifications:o Basic Mechanical Knowledgeo Willing to Learno Self-Motivatedo Work Under Pressureo Be Calm and Positiveo Be Accurate and Preciseo Team Playero • Benefits• Competitive rates of Pay • The hours will usually be early shifts however some flexibility would be required.Just to let you know...We're thrilled with the applications we receive for our roles, and love taking the time to review them, but unfortunately we’re not able reach out to everyone individually. If we’d like to move forward with your application we’ll definitely be in contact with you!GTAccess actively promotes a smoke free environment.",https://findajob.dwp.gov.uk/details/13924555,,0
Fix the Fells Assistant Ranger,National Trust,"Coniston, Boon Crag, Coniston, LA21 8AQ","The voice of the National Trust in the uplands, you’ll be working to ensure the future health of the Lake District fells. The Cumbrian mountains will be your office as you enjoy the unique physical demands of building and maintaining the paths that protect habitat and deliver inspiration.Hours: Full time 37.5 hours per week Contracts: Fixed term role running from April 2024 to June 2025Interviews: 4th March What it's like to work hereThis role is based out of our Coniston office. April through October you’ll represent partnership organisation Fix the Fells in a four-person upland team, spending your days in the high fells of the south Lakes and beyond. In the winter months dropping altitude to fully integrate with the South Lakes National Trust Ranger team, helping manage extensive countryside land holdings across Hawkshead, Coniston and Little Langdale. Reporting to the upland Area Ranger and working alongside one Ranger and another Assistant Ranger, you’ll develop close relationships and make a lasting difference. Fix the Fells passionately works to protect the precious landscape and biodiversity of the area by repairing and preventing erosion damage and creating sustainable paths. You’ll spend time working alongside the partnerships dedicated team of experienced volunteers and other Lake District ranger teams. What you'll be doingAs a Fix the Fells Assistant Ranger you’ll be focused on erosion control through upland path repair, preserving upland habitats through practical work. You’ll learn to recognise erosion problems and employ a range of upland path repair techniques to control them. Whether surveying or building, you’ll talk to people, inspiring others to love our beautiful places as much as you do. Working mostly on larger footpath projects you’ll experience the seasons passing from up on high. A demanding role; come rain or shine you’ll enjoy hiking daily in and out of your worksite, manoeuvring heavy stones, digging lots of holes and aiding your colleagues. Working in remote locations with a mind for health and safety and manual handling, you’ll make a direct difference to the landscape and create a lasting impression on the people you meet. Who we're looking forWe’d love to hear from you if you are:able to demonstrate practical experience in land, conservation and access management to level 2 or have 6 months vocational experiencewilling to work outside in all weathers and deliver tasks when the weather conditions aren’t ideal, you'll be resilient even when things aren't going well repeatedly comfortable working in a flexible and adaptable wayable to work alone or under direction, and as part of a teampositive with an approachable attitudeenjoy the work you do and happy to share this with others",https://findajob.dwp.gov.uk/details/13924554,,0
Construction Assurance Manager,National Highways,"West Midlands, UK","National Highways have an excellent opportunity for a Construction Assurance Manager to join our Scheme Delivery team in the Midlands region. Reporting directly to the Construction Manager, the Construction Assurance Manager will provide management, coordination, and construction assurance by leading a team of Site Supervisors overseeing H&S compliance of highway major maintenance and minor improvement schemes being delivery by Scheme Delivery Framework, Pavement Delivery Framework, and third-party contractors across the region.Please note additional and/or unsociable working hours including night working may be required for which there will be paid overtime and/or a nightwork uplift.This role can be based at any of the following National Highway’s locations: across the Midlands, with locations at Birmingham, Nottingham, Kettering, Telford, Stafford, Worcester, or Warwick.You will also be required to drive as part of your role and you will need to have a full clean driving license to be considered for this position and during employment. What you’ll be leading on:Management of resources engaged in supervision and inspection of works in accordance with contractual terms, and management and co-ordination of post-completion activities including preparation of the H&S File.Assuring the completion of planned works to the required standard including compliance with the Design Manual for Roads and Bridges (DMRB) and Manual of Contract Documents for Highways Works (MCHW), and in accordance with the drawings and specification as designed along with identify and manage the rectification of defects and certifying completion of works.Verifying contractors comply with HSE Legislation including the CDM Regulations and ensuring the Principal Contractor’s duties under the CDM regulations are properly discharged.Verifying temporary traffic management arrangements are designed and implemented in accordance with Chapter 8 of the Traffic Signs Manual.Identifying and implementing, in consultation with Project Managers and contractors, improvements which eliminate or reduce construction related risks.Recommending improvements in the development of related processes and approaches, as well as proactively identifying opportunities for efficiencies in the construction of schemes.To be successful:Experienced in construction supervision of Highway Maintenance or structures related projects.Good understanding of site-based processes, relevant legislation, practices and policies for health & safety, environmental and quality managementKnowledge of DMRB, MCHW, Chapter 8 and CDM RegulationsInstitution of Occupational Safety and Health (IOSH) or Site Management Safety Training Scheme (SMSTS) is essential.Good contractual and commercial awareness with understanding of supply chain contracts and risk management.A bit about usOperations is at the heart of keeping the strategic road network moving and ensuring our customers get the best possible experience when using our roads.We address over 39,000 customer enquiries every month, plan and deliver all maintenance activities on the network, drive efficiencies and improvements across our systems and roads, and respond to incidents across 4,500 miles of motorways and major A-roads that we manage. All to make sure National Highways customers have safer, smoother, and more reliable journeys.Want to know more?To request a copy of the role profile, please contact hrhighwaysengland@mailgc.cx.ukg.oraclecloud.com quoting reference number #4546ABOUT USWhy you should join usAt National Highways we believe in a connected country. We are passionate about creating a culture where colleagues feel connected, included and enjoy greater wellbeing to achieve this. We’re proud that as an organisation we are continually striving to do better and actively encourage and support our colleagues to do the same with their careers. So, if you put safety first, take ownership of your work, show passion for what you do, work effectively in a team, and demonstrate integrity in how you do it – then you’ll be a great fit for our organisation.",https://findajob.dwp.gov.uk/details/13924553,,0
Apprentice Early Years Nursery Practitioner,Ballyhoo Boutique Nursery,"Carlisle, Cumbria","If you have a passion for helping children learn and develop this is the role for you. Come and see our lovely nursery and meet our welcoming team.Ballyhoo Boutique Nursery is a warm and friendly nursery offering high quality childcare provision for children aged between 6 months to 4 years. The nursery is situated in the heart of Carlisle with free car parking and excellent access to public transport.We are looking for an enthusiastic Apprentice Nursery Practitioner to work between the hours of 8.00 a.m. to 6.00 p.m. Hourly rate of pay £6.40.An enhanced DBS is required for this position. Ballyhoo Boutique Nursery takes its commitment to Safeguard and Promote the Welfare of Children and Young People very seriously and expects all staff, students and volunteers to do the same. We aim to ensure that all people working with children are suitable to do so and we are therefore extremely vigilant when recruiting new staff to join our team.Within this role you will learn skills of:Developing knowledge of the EYFS and child developmentLearn how to provide high quality care for all childrenLearn how to promote inclusive play and learning opportunities for all childrenHelp to deliver fun and exciting activities, to develop each individual child's needs and interestBecome confident in observing, Assessing and implementing next stepsEncourage healthy eating and good hygieneWork as a team to enable the children's environment to create curiosityTo maintain and follow Health and Safety policies and proceduresFollow and adhere to Safeguarding proceduresBecome a key personAttend trainingWork well within a teamHave a passion for working with childrenAll training will be provided, you will have a full induction and we offer a buddying up system to ensure you gain full knowledge about the nursery and how we operate on a day to day basis.We are searching for the right person who is looking to progress in the childcare sector. No qualifications required or if you have your Level 2 in childcare and are looking to complete your Level 3 please send over your CV.Working 3.5-4 days a week, 33.5 - 38 hoursIf you would like the opportunity to join our team, please apply below.Job Type: PermanentJob Types: Full-time, PermanentSalary: £6.40 per hourExpected hours: 30 – 38 per weekBenefits:Discounted or free foodFree parkingOn-site parkingSchedule:10 hour shiftDay shiftMonday to FridayNo weekendsWork Location: In person",https://findajob.dwp.gov.uk/details/13924552,,0
