title,company,location,description,link,relevant,rank,keyword
Computer Science Teacher,senploy,"West London, London","Computer Science Teacher - KS3/KS5 - West London - JAN STARTA popular school located in West London are seeking an enthusiastic Computer Science Teacher to teach Information technology and Computer science across KS3 - KS5.The Teacher will join a well-equipped department within a supportive school. The ideal candidate will have a strong understanding of the IT & Computer Science curriculum and be able to plan, prepare and differentiate lessons in accordance to student needs.You must have the willingness to prepare young people for a world with computing, and having an awareness of the legal, ethical, social and moral implications of applying technology. The school aim to prepare students to be life-long learners who are able to take advantage of current and future developments in ICT.Students within the school are supported throughout their studies, with electronic resources, buddy feedback, with exemplar materials, and through the marking and regular feedback system.The successful candidate will deliver lessons to KS3, GCSE, and A level. This is a full-time position including planning and marking.About the School:Large secondary schoolSolid, growing IT and Computing department with a blend of NQTs and experienced teachersSupportive team and a strong leaderDepartment with a collaborative approach to planning, delivery, and assessmentBehaviour at the school is well-managed and students value their educationThe school provides pastoral responsibilities to staff and a range of CPD sessions.Contract/Position Details:* West London* Long-term/Perm Teacher* IT & Computer Science Teaching* Janurary 2024* full-time position* teachers to be paid to scale, depending on experience* Hours - 8:00 am - 4pm* Experience, Training and Qualifications of the IT Teacher:Hold a BA and Bed / PGCE in IT/ComputingPossess UK classroom teaching experience OR an understanding of teaching scienceBe confident with teaching GCSE classesBe creative, patient and willing to think outside of the boxTo be eligible for this role, the potential Science Teacher must:Hold the right to work in the UKHold an enhanced child barred list DBS certificate registered with the online update service or be willing to process a new applicationProvide two professional child-related references.Apply NowOTHER:If you would like to be considered for this role, please apply with a copy of your up to date CV. Unfortunately, only shortlisted candidates will be contacted.Prospero Teaching is acting as an employment business/education recruitment agency in relation to this vacancy. The successful candidate will be required to register with Prospero Teaching in order to fill this vacancy.Prospero Teaching can offer the successful candidate:Free, accredited continued professional development courses including safeguarding and behaviour managementIn-house Training and Development Team",https://findajob.dwp.gov.uk/details/13758706,TRUE,21,4
Maths Teacher | Islington Schools HR Services,Islington Council,"Islington, London, N1 0TJ","Maths TeacherSalary grade: MPS/UPS + SEN 1 (£36,745 - £ 56,959 + £2,539)PermanentRequired to start as soon as possibleAre you an experienced Maths teacher?Thinking of a role to further your teaching career?Are you ready for a new challenge?If you're a Maths teacher with a real passion for your subject, this is a fantastic opportunity for someone who is looking for a new challenge and has a flexible approach, to join a committed team at New River College Medical.We are now looking for a dynamic and enthusiastic teacher who relishes a challenge, who wants to try new ideas and who genuinely wants to contribute to the lives of young people with drive and passion.  The post holder will need to be a confident and effective teacher who can deliver exciting and challenging lessons.Many of our pupils are below national age-related literacy and numeracy levels when they arrive.  Ability to engage children with SEMH is more important than the phase you are used to teaching.  We particularly welcome applications from those from a black or ethnic minority background.  We also welcome applications from ECTs and NQTs.New River College comprises of three Alternative Provision schools in Islington (primary, secondary and medical), for pupils with social, emotional and mental health challenges (SEMH).  New River College Medical is split across three sites, in the School (momentarily in the building that used to be Vittoria Primary School), at the Whittington Hospital and in pupils’ home and/or local community so a willingness to teach on multiple sites is essential.On our Medical site, some of our pupils have been missing our on their education for some time, whereas others, are very committed in their learning. Therefore, we are looking for a teacher that can deliver fun and exciting lessons for those below national levels, as well as for those above national levels.We offer a core curriculum to all pupils which includes English, Maths, Science, Humanities and a selection of foundation subjects. We also work with a number of alternative providers around enhanced learning opportunities.Closing date:23:59 Sunday 21stJanuary 2024Shortlisted candidates will be notified by:Tuesday 23rdJanuary 2023Interviews will be held on:Either Monday 29thor Tuesday 30thJanuary 2024For background information visit our website www.newrivercollege.co.uk or for an informal discussion about the post or to arrange a visit please contact Adam Sunderland or Helen Hopkins on 020 7504 0534 (option 3) or via email on adam.sunderland@nrc.islington.sch.uk or helen.hopkins@nrc.islington.sch.uk.New River College is committed to safeguarding and promoting the welfare of children and young people, and expect all staff and volunteers to share this commitment. An enhanced DBS (Disclosure and Barring Service) with barred list check will be required. Also, if this post is likely to come under the requirements of the Childcare (Disqualification) 2009 Regulations and the successful applicant will be required to declare.In line with KCSIE 2022 and safer recruitment practices, the school will conduct an online search on publicly available information on candidates’ suitability to work with children, for all shortlisted candidates. Shortlisted candidates will be provided with further guidance and will be asThis advert closes on Sunday 21 Jan 2024Proud member of the Disability Confident employer schemeDisability ConfidentAbout Disability ConfidentA Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go toDisability Confident.",https://findajob.dwp.gov.uk/details/13702540,TRUE,20,0
"Science, Physics Teacher | Islington Schools HR Services",Islington Council,"Islington, N6 5LY","Science, Physics TeacherContract Type:     Permanent ContractWork Pattern:       Full-timeLocation:                Highgate, Islington, LondonSalary:                     MPR- UPR (Dependent on experience)Actual Salary:     £36,745– £56,959Start Date:            September 2024St. Aloysius’ College is a high performing Roman Catholic Boys secondary school with a Mixed Sixth Form in the Borough of Islington. It has provided the local community with over 140 years of high-quality education.  The College is on a journey to Outstanding having received a “Good” Section 5 OFSTED report in June 2022.  It is a highly regarded school in the local community, based in a vibrant location in North London with excellent transport links.The school is going Co-Educational in September 2024, taking in girls in Years 7&8.It is a friendly and supportive school community with a focus on excellence and high expectations of all. Staff development is a priority on our journey to Outstanding.  We are now looking to appoint an enthusiastic and committed Science, Physics Teacher to help us deliver outstanding educational opportunities and outstanding outcomes for all of our pupils.  Results in Physics are very strong both at GCSE and at A-level.We can offer:• The opportunity to teach enthusiastic, motivated and respectful students• Supportive, hardworking Governors and colleagues who care passionately about our school and the local community.• Future career development and a well-structured CPD programme.We are looking for someone who will:• Secure top grades in both GCSE and Science at A level Physics.• Be an outstanding reflective classroom practitioner and a strategic thinker.• Be able to assist with the development of strategies to ensure every pupil makes good progress in accordance with the schools’ targets and expectations• Have a commitment to ongoing professional development.• Be committed to inclusion and well-being of all pupils irrespective of their ability or background• Be an outstanding role model in your own professional practice including teaching and learning.• Have the capacity and skills to manage workload and to meet deadlines.• Be able to assist with the development and delivery of our SEND and intervention strategies.• Have the knowledge and skills to take responsibility for maintaining up to date curricular intent as directed by your line manager which includes curriculum maps, plans schemes of work and assessment plans.• Have the knowledge and skills to plan and deliver outstanding lessons that inspire and enthuse pupils.• To set and mark homework and assessments as per school systems.• Be expected to play a full part in the extra – curricular activities of this forward-thinking school.For more information about our school, please visit our school website https://www.sta.islington.sch.uk/, and if you would like to come and see the school, please contact the school office to arrange a tour on 020 7561 7800 or emailenquiries@sta.islington.sch.ukWe review applications prior to closing date, so please apply as we may close the advert early due to a good response in applications.Closing Date: Midnight 26th January 2024Please apply online athttp://jobs.islington.gov.uk/disciplinesand fill out an application form. If you need any assistance, please contact Schools HR atschoolsrecruitment@islington.gov.ukquoting referenceSTAC/1596For more information about our school, please visit our school website https://www.sta.islington.sch.uk/, and if you would like to come and see the school, please contact the school office to arrange a tour on 0207561 7800 or emailenquiries@sta.islington.sch.ukSt Aloysius College is committed to safeguarding and promoting the welfare of children and expects all staff and volunteers to share this commitment. An enhanced DBS (Disclosure and Barring Service) with barred list check is required for all successful applicants and positive references.In line with KCSIE 2023 and safer recruitment practices, St Aloysius will conduct an online search for all shortlisted candidates. The online search is part of our safeguarding checks and will seek publicly available information on candidates’ suitability to work with children. Shortlisted candidates will be provided with further guidance and will be asked to clarify their online presence.This advert closes on Friday 26 Jan 2024Proud member of the Disability Confident employer schemeDisability ConfidentAbout Disability ConfidentA Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go toDisability Confident.",https://findajob.dwp.gov.uk/details/13817840,TRUE,19,15
Computer Science Teacher,Step Teachers Ltd,"Newham, London, E20 1BD","Are you a passionate and talented Computer Science teacher looking for an exciting opportunity in an 'Outstanding' school? Step Teachers are working alongside an ‘Outstanding’ school in Newham who are seeking an enthusiastic individual with a passion for computing and a desire to instil that passion in the school’s students. This is a full-time long-term role with the potential to be permanent. Previous experience teaching computer science at A-Level is desired.The school prides itself on excellent academic outcomes where equality and diversity are embedded in everything the school does.Position:Computer Science Teacher Years 7 to 13Location:Newham, LondonStart Date:ASAPType:Full-time, long-term with the potential to be permanentThe Role:Strong knowledge of the computer science curriculum.Organised and professional maintenance of the classroom and the associated resources.Work effectively with other members of staff, both within the classroom and throughout the school.Ability to assess students, monitor their progress, and provide constructive feedback to help them to progress.Able to plan and deliver engaging and comprehensive lessons.Compliance with the schools’ policies and the reliable implementation of these.Requirements:Qualified Computer Science Teacher (QTS) or equivalent.A genuine passion for education and a commitment to helping students achieve their best.Excellent communication skills and the ability to connect with young learners.Demonstrated experience teaching Computer Science at the secondary level.If you’re interested, we want to hear from you!Why Step Teachers?With over 20 years in supplying educational professionals across North London, Hertfordshire, East Anglia and Plymouth, we have and continue to build long-standing; exclusive relationships with many schools and academy trusts across these regions. We have a resolute team that will support and nurture your career at Step Teachers.Step Teachers are an agency listed as an approved supplier on the Crown Commercial Service and are proud to be REC audited. This ensures we are carrying out comprehensive checks in line with the REC Code of Professional Practice and are fully committed to safeguarding and promoting the welfare of children and young people. Upon registration, candidates will be subject to a variety of checks including an enhanced DBS check, full references including your most recent employer and eligibility to work in the UK.Weekly pay is processed through PAYE. High street, travel, gym membership and many other exclusive discounts, along with physical and emotional wellbeing services as standard with our pay portal.Recommend a friend and receive up to £200 of Amazon vouchers – If you know anyone who is looking for temporary, permanent, or supply work then get in touch with us today!",https://findajob.dwp.gov.uk/details/13815986,TRUE,18,14
Physics Teacher,Step Teachers Ltd,"Hackney, London, N4 1SY","Are you passionate about shaping young minds and nurturing the scientists of tomorrow? Do you have a knack for making complex concepts understandable and fun? If so, we have the perfect opportunity for you! Step Teachers are working alongside a ‘Good’ school in Hackney who are seeking an enthusiastic individual with a passion for physics and a desire to instil that passion in the school’s students.Position: Physics TeacherHours: Full-Time Monday to FridayLocation: ‘Good’ Secondary School in HackneyStart Date: ASAPThe Role:Strong knowledge of the Physics curriculum.Organised and professional maintenance of the classroom and the associated resources.Work effectively with other members of staff, both within the classroom and throughout the school.Ability to assess students, monitor their progress, and provide constructive feedback to help them to progress.Able to plan and deliver engaging and comprehensive lessons.Compliance with the schools’ policies and the reliable implementation of these.Requirements:Qualified Teacher Status (QTS) or equivalent.A genuine passion for education and a commitment to helping students achieve their best.Excellent communication skills and the ability to connect with young learners.Demonstrated experience teaching Physics at secondary level. Must be able to teach year 13 physics including ‘Mechanics’.If you’re excited about the prospect of shaping young scientific minds, we want to hear from you!Why Step Teachers?With over 20 years in supplying educational professionals across North London, Hertfordshire, East Anglia and Plymouth, we have and continue to build long-standing; exclusive relationships with many schools and academy trusts across these regions. We have a resolute team that will support and nurture your career at Step Teachers.Step Teachers are an agency listed as an approved supplier on the Crown Commercial Service and are proud to be REC audited. This ensures we are carrying out comprehensive checks in line with the REC Code of Professional Practice and are fully committed to safeguarding and promoting the welfare of children and young people. Upon registration, candidates will be subject to a variety of checks including an enhanced DBS check, full references including your most recent employer and eligibility to work in the UK.Weekly pay is processed through PAYE. High street, travel, gym membership and many other exclusive discounts, along with physical and emotional wellbeing services as standard with our pay portal.Recommend a friend and receive up to £200 of Amazon vouchers – If you know anyone who is looking for temporary, permanent, or supply work then get in touch with us today!",https://findajob.dwp.gov.uk/details/13797522,TRUE,17,10
Physics Teacher-Physics ECT,KPI RECRUITING LTD,N5 1PF,"Physics Teacher-Physics ECTAre you completing teacher training specialising in Physics and now looking to secure your first Physics Teacher post for September?Would you like to join a secondary school with a passion for science and track record of nurturing new teachers?A mixed comprehensive school which has received excellent success in recent years is looking to recruit a Physics teacher who can inspire students and teach up to A-Level.This 'Outstanding' graded secondary school in central London now wants to recruit a fantastic Physics Teacher to support their students to gain entry to the UK's top Universities - can you help?This Physics teacher post is open to experience and ECTs from September 2024...A fantastic Physics Teacher opportunity has arisen at one of the country's best schools starting September 2024. If you love teaching Physics and want to teach up to KS5 in a subject that is much loved by students, this post is for you.• Physics Teacher-Physics ECT• Permanent, Full time Physics Teacher or ECT post available for September 2024• Mixed 11-18 Secondary School located in Croydon ,South London• Excellent exam results - 85% A*-C including Maths & English• Plenty of KS5 Teaching available• Possible TLR for exceptional candidates• Main or Upper Pay Scale London Allowance• School has been graded 'Outstanding' several times• Great reputation within LEA and supportive Parents & Governors• Good Location in Central London - Good commuting linksAbout the Role-Physics TeacherIn this Physics Teacher position, you will be becoming an important part of the creative Science Department that leads from the front. As a Physics Teacher you will be teaching in a department which is of pride to the school, thanks to its great academic performance and the popularity amongst the students. This is an integral role within the school, and you will be given all the training and CPD you require to work in the best way possible. Part of your role will include a focus on sustaining good exam performance within the Science Department. You will have the responsibility of benefitting from tools and resources that will allow you to teach 'Outstanding' lessons including brand new laboratories. Your schedule will have classes from all the Key Stages; therefore, you must be confident in teaching the varying abilities of KS3 and KS4 and the engaged minds of A-Level students.The SchoolThis school is a trend-setting secondary found in Croydon , South London with excellent commuting links. The school takes an original approach to teaching, putting creativity at the forefront of new pedagogical methods. The school has a terrific learning environment that has caused it to be oversubscribed for several years running. It occupies a special position as an integral part of the local community and earned a well-deserved 'Outstanding' grade in recent inspection. Run by a conscientious SLT, the school always introduce innovative training schemes and encourage all staff to take the initiative and begin learning impressive new skills.If you feel you have got a true passion for Physics, and you want to teach students who want to learn why not apply for this role ASAP. Are you excited by the challenge of teaching Physics to pupils of all ages and abilities who love the subject? Do not delay in applying for this Physics Teacher post or you could miss out!To avoid disappointment, email a CV and covering letter to Ryan at KPI Education now.INDEDU",https://findajob.dwp.gov.uk/details/13813390,TRUE,16,11
Qualified Teacher of Science,Teacheractive Limited,SW11,"TeacherActive have partnered with an Academy Trust of Secondary Schools across Battersea and neighbouring areas of South London who are keen to employ Qualified Teachers of Science able to engage, motivate and inspire students.Qualified Teacher Status (QTS) is essential for this role - so please do not apply if you haven’t yet gained QTS.Unqualified staff will not be considered.• However, with QTS – you can expect to earn £180 to £200 per dayDue to the size of the Academy Trust and number of partnering Secondary Schools, Qualified Teachers of Science are required regularly on a daily basis between the hours of 8:30am and 3:30pm.The Academy Trust is modern, forward thinking and very well resourced with an experienced and proactive Senior Leadership team who place courtesy and mutual respect at the heart of their vision and strategy. Their most recent Ofsted report alludes to students demonstrating positive attitudes to learning and all staff, irrelevant of their role in the school community, appear to feel valued and respected.If you’re a Qualified Teacher and know you can deliver engaging lessons and commit to a full working week, this is a wonderful opportunity to immerse yourself in a diverse, thriving and welcoming community.Our staff are paid on a PAYE basis, so you can rest assured that you’re paying the right level of TAX and National Insurance and there’s no messing around with admin charges coming out of your hard earned cash.If you are interested in this position, then click ‘APPLY NOW’  and I will be in touch regarding this fantastic opportunity.Email: rhys.merriman@teacheractive.comPhone: 02078586655All applicants will be contacted to discuss suitability and then invited to register with TeacherActive.Registration involves an enhanced DBS check, ID checks and will require you to supply good professional references. We pride ourselves on excellent service. We can provide a wide range of opportunities in schools and other educational institutions, with good rates of pay, at times to suit your needs.Regular external audits have shown repeatedly that our standards are exceptional. We are passionate about finding the right staff for each environment.TeacherActive is an equal opportunities employer, and operates as an Employment Business in providing temporary or contract job-seeking services.",https://findajob.dwp.gov.uk/details/13836609,TRUE,15,17
Secondary Science Teacher,senploy,"Hackney, London","Science Teacher - secondaryHackneyASAP£140 - 200 per dayAt Veritas we work with a number of schools across London and the surrounding areas supplying qualified teachers for for long term, short term, daily, and permanent roles. We work with state, private, independent and SEN schools and have great relationships with the schools we work with.We are currently seeking a qualified science teacher with QTS for a secondary school in Hackney.To be considered for our teaching positions you will:- hold applicable teaching qualifications- have good teaching experience- have high expectations for learning and behaviour- Be a strong team player- Be able to motivate and inspire students helping them to work towards the highest standards- being committed to safeguarding and welfare of studentsNQTS with experince are welcome!At Veritas we pride ourselves on providing an honest and reliable recruitment service through designated consultants, we also offer attractive rates of pay and offer full support throughout all placements.If you wish to be considered please respond to this advert by sending your up to date CV.We look foward to receiving your application!APPLICATION REQUIREMENTS FOR VERITAS EDUCATION- All applications are subject to an Enhanced DBS Disclosure, professional reference checks, Overseas Police Clearances (if applicable) in line with our stringent safeguarding policy- Your CV must cover the last 10 years of employment history where possible and all employment breaks must be explained- You must have legal right to work in the UK- You must be willing to attend a registration interviewVeritas Education work with a variety of schools covering a wide geographical area. We deal with teaching placements at Primary, Secondary and college level as well as support staff positions also within these.Disclaimer'Nothing within the above advert was in any way designed or intended to discriminate on the grounds of age, gender, race, colour, religion, disability or sexual orientation. Veritas Education is an Equal opportunities employer and is proud in the knowledge that all placements are made on merit and suitability. We accept applications from all sections of the community.'",https://findajob.dwp.gov.uk/details/13815709,TRUE,14,12
Qualified Teacher of Science,Teacheractive Limited,SW9,"TeacherActive have partnered with an Academy Trust of Secondary Schools across Brixton and neighbouring areas of South London who are keen to employ Qualified Teachers of Science able to engage, motivate and inspire students.Qualified Teacher Status (QTS) is essential for this role - so please do not apply if you haven’t yet gained QTS.Unqualified staff will not be considered.•However, with QTS – you can expect to earn £180 to £200 per dayDue to the size of the Academy Trust and number of partnering Secondary Schools, Qualified Teachers of Science are required regularly on a daily basis between the hours of 8:30am and 3:30pm.The Academy Trust is modern, forward thinking and very well resourced with an experienced and proactive Senior Leadership team who place courtesy and mutual respect at the heart of their vision and strategy. Their most recent Ofsted report alludes to students demonstrating positive attitudes to learning and all staff, irrelevant of their role in the school community, appear to feel valued and respected.If you’re a Qualified Teacher and know you can deliver engaging lessons and commit to a full working week, this is a wonderful opportunity to immerse yourself in a diverse, thriving and welcoming community.Our staff are paid on a PAYE basis, so you can rest assured that you’re paying the right level of TAX and National Insurance and there’s no messing around with admin charges coming out of your hard earned cash.If you are interested in this position, then click ‘APPLY NOW’  and I will be in touch regarding this fantastic opportunity.Email: rhys.merriman@teacheractive.comPhone: 02078586655All applicants will be contacted to discuss suitability and then invited to register with TeacherActive.Registration involves an enhanced DBS check, ID checks and will require you to supply good professional references. We pride ourselves on excellent service. We can provide a wide range of opportunities in schools and other educational institutions, with good rates of pay, at times to suit your needs.Regular external audits have shown repeatedly that our standards are exceptional. We are passionate about finding the right staff for each environment.TeacherActive is an equal opportunities employer, and operates as an Employment Business in providing temporary or contract job-seeking services.",https://findajob.dwp.gov.uk/details/13836610,TRUE,13,16
Science Teacher,Teacheractive Limited,SW9,"TeacherActive have partnered with an Academy Trust of Secondary Schools across Erith and neighbouring areas of South London who are keen to employ QUALIFIED (QTS) Science Teachers able to engage, motivate and inspire students.Having a Science related degree would be advantageous but not essential – as long as you have QTS, strong A-Level and GCSE results, experience delivering Science based activities and a true desire and passion for teaching Science.With QTS – you can expect to earn £180 to £200 per dayDue to the size of the Academy Trust and number of partnering Secondary Schools; strong Science Teachers are required regularly on a daily basis between the hours of 8:30am and 3:30pmThe Academy Trust is modern, forward thinking and very well resourced with an experienced and proactive Senior Leadership team who place courtesy and mutual respect at the heart of their vision and strategy. Their most recent Ofsted report alludes to students demonstrating positive attitudes to learning and all staff, irrelevant of their role in the school community, appear to feel valued and respected.If you know you can deliver engaging Science lessons and commit to a full working week, this is a wonderful opportunity to immerse yourself in a diverse, thriving and welcoming community.Our staff are paid on a PAYE basis, so you can rest assured that you’re paying the right level of TAX and National Insurance and there’s no messing around with admin charges coming out of your hard earned cash.If you are interested in this position, then click ‘APPLY NOW’  and I will be in touch regarding this fantastic opportunity.Email: rhys.merriman@teacheractive.comPhone: 02078586655All applicants will be contacted to discuss suitability and then invited to register with TeacherActive.Registration involves an enhanced DBS check, ID checks and will require you to supply good professional references. We pride ourselves on excellent service. We can provide a wide range of opportunities in schools and other educational institutions, with good rates of pay, at times to suit your needs.Regular external audits have shown repeatedly that our standards are exceptional. We are passionate about finding the right staff for each environment.TeacherActive is an equal opportunities employer, and operates as an Employment Business in providing temporary or contract job-seeking services.",https://findajob.dwp.gov.uk/details/13786670,TRUE,12,9
