title,company,location,description,link,want to get,ranking
Environment & Sustainability Manager,Co-op Group,"Manchester, Greater Manchester, M60 0AG","Environment and Sustainability Manager£38K-£45K plus great benefits (Work Level 6A)Manchester city centre. In this role you'll work in a hybrid way - splitting your time between home and the office (find out more about our hybrid working policy at colleagues.coop.co.uk/hybrid-working-policy)We're looking for an Environment and Sustainability Manager to join our Ethics, Sustainability and Policy (ESP) team here at Co-op. You'll be joining a team that leads our business wide Sustainability strategy, performance management and policy. ​Our purpose is to support the Co-op to be successful by doing the right thing, and so be clearly recognised as the UK's most ethical retailer.We'll look to you to support the design and implementation of Co-op's environment agenda, specifically for food waste and water security. You'll lead on key strategies and policy development towards achieving our One Co-op Sustainability Plan objectives. Your passion and work will help us make positive change to ultimately make the world a better place to live.What you'll doLead on the development and delivery of Co-op's strategy, targets and action plans to reduce food waste from farm to fork and tackle water security challenges in our supply chainCo-ordinate business engagement with Waste and Resources Action Programme (WRAP), The One Foundation, Water Unite and other key external partnersBuild and maintain relationships with teams and partners across Co-op and Federal Retail Trading Services (FRTS), to deliver food waste and water security objectives.Own reporting and monitoring of public commitments and targets on food waste and water security.Maintain knowledge of developing and emerging issues including legislation and find opportunities to continually reduce the impacts of Co-op products.Work closely with ESP colleagues to support our wider sustainability agenda and specific support for cross functional projects assignedThis role would suit people who haveThe ability to work collaboratively and build relationship with internal and external partnersFood industry experience, working specifically in sustainability and environmental issuesGreat organisational skills, managing your workload independently whilst working on long term projectsA good understanding of food supply chains and environment and sustainability issues relevant to the UK and global food production sectorStrong analytical skills, with the ability to draw conclusions from dataWhy Co-op?If you have the skills that we need, we can offer you a competitive salary and great benefits package which includes 30% off Co-op branded products in our food stores (as well as other discounts on Co-op products and services).An annual bonus (based on personal and business performance)28 days holiday (rising to 32 with service) plus bank holidaysA pension with up to 10% employer contributionsAccess to a subsidised onsite gym (at our Manchester HQ)Coaching and training to support your career developmentWagestream app - giving you access to a percentage of your pay as you earnYuLife app - rewarding you for exercising with discounts and vouchers for your favourite brandsAt Co-op, we're proud to do things a different way. As one of the world's largest co-operatives, owned by millions of members, community is at the heart of what we do. Since our Co-op was founded in 1844, we've had a clear social purpose, and everything we do as a business helps to build a fairer world for our members, customers, colleagues, and communities.Building a diverse environmentWe're actively building diverse teams and we welcome applications from everyone. If you have a disability, we can make reasonable adjustments to our recruitment process according to your needs. We're also part of the Disability Confident scheme, meaning we'll always offer an interview to disabled candidates who apply through the scheme if they meet the minimum criteria for a job.We'll ask whether you'd like to be considered under the Disability Confident scheme when you apply.If we invite you to take part in the recruitment process for any of our jobs, we'll ask you if you need any reasonable adjustments to enable you to participate.You can find out more about our recruitment process at jobs.coop.co.uk/apply-processYou can find out more about the Disability Confident scheme and all our commitments to diversity and inclusion at colleagues.coop.co.uk/diversity-inclusion-and-wellbeingPlease note that we may close applications for this role early.Proud member of the Disability Confident employer schemeDisability ConfidentAbout Disability ConfidentA Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go toDisability Confident.",https://findajob.dwp.gov.uk/details/13883073,,
Environmental and Sustainability Manager,Escape Recruitment Services,"Perth PH1 3XB, Perth & Kinross, PH1 3XB","Join Escape Recruitment's client in Perth! As a significant player in the food industry operating across Ireland, the UK, and Europe, our client is committed to excellence in every aspect of its business. We are currently seeking a dynamic individual to fill the role of Environmental and Sustainability Manager at their Perth locationAs the Environmental and Sustainability Manager, you will be responsible for overseeing the environmental and sustainability performance of the site, with a focus on ensuring the treatment plant operates within approved limits. We are looking for a dedicated professional to join their fantastic team in Perth. If you have the expertise we're seeking, we encourage you to get in touch with us.The RoleCoordinate all aspects of pollution control, waste management, recycling, environmental health, conservation, and renewable energy.Lead the implementation of environmental policies and practices, driving efficiencies in utilities and collaborating with on-site departments.Ensure compliance with environmental legislation, staying updated on British and adopted European Legislation.Liaise with relevant bodies such as the EA, local authorities, and other public entities.Audit, analyse, and report environmental performance to management and regulatory bodies.Promote and raise awareness of emerging environmental issues across all levels of the organisation.Implement best practices in corporate, ethical, and social responsibility, addressing arising issues.Develop and implement environmental management systems for continuous improvement in the organisation's environmental impact.Conduct training for staff at all levels on environmental issues and responsibilities, including a comprehensive program for WWTP Operator training.Participate in environmental education and research initiatives.Effectively manage the wastewater treatment plant during and outside regular hours, overseeing the WWTP Operator.Maintain the active and updated status of ISO 14001 standard at the site level.The CandidateDegree in environmental and earth sciences, environmental engineering, or a relevant field; postgraduate degrees are increasingly advantageous.Strong interpersonal skills with a proven ability to work collaboratively and influence colleagues.Self-confident and decisive with a dynamic, high-energy, proactive, people-focused approach.Excellent written and oral communication skills, including the ability to present reports and documents and influence at a senior level.Outstanding organisational and time management skills.Ability to work under tight deadlines and pressure in a high-performance, fast-paced environment.If you are ready to contribute to their commitment to excellence and drive sustainability initiatives, apply now and become an integral part of our client's team in Perth!",https://findajob.dwp.gov.uk/details/13851537,,
Head of Sustainability,Veolia,"London, London, N1 9JY","Salary: Competitive salary plus Veolia benefits including a company bonus, car/allowance, enhanced pension and private medicalLocation: London/Hybrid- with travel to our UK sites as required.When you see the world as we do, you see the chance to help the world take better care of its resources, and help it become a better place for everyone. It's why we're looking for someone who's just as committed as we are, to push for genuine change and bring our ambition of Ecological Transformation to life.We know that everyone here at Veolia can help us work alongside our communities, look after the environment, and contribute to our inclusive culture.What we can offer you:- 25 days of annual leave- Facilities including a free onsite gym, parking and subsidised restaurant at our Cannock office- Access to our company pension scheme- Discounts on everything from groceries to well known retailers- Access to a range of resources to support your physical, mental and financial health; so you can lean on us whenever you need to- One paid days leave every year to volunteer and support your community- Ongoing training and development opportunities, allowing you to reach your full potentialWhat you'll be doing:In this role you will continue to develop the UK and Ireland sustainability strategy and reporting to help achieve Veolia's purpose of Ecological Transformation - including developing and coordinating the delivery of key initiatives such as social value, biodiversity, and net-zero.The role is responsible for coordinating activity, reporting and day-to-day communication of sustainability-related issues. You will work across key areas of the business to ensure that the reporting sustainability data adheres to the relevant frameworks and work in collaboration with external partners, government entities, and regulatory bodies as necessary.Having knowledge of related legislative frameworks, you will advise and support policy positioning and lobbying strategies, working closely with customer-facing teams to ensure the accuracy of briefing materials and presentations, contributing to the achievement of Veolia's purpose of Ecological Transformation.What we're looking for:You will be qualified to degree level in a related field, with previous experience in environmental related business and a proven ability to work cross-functionally.Possessing strong knowledge of sustainability related legislation with strong knowledge of global sustainability frameworks such as UN SDG, SBTI,TCFD, TFND, GRI, SECR, SASB, CDP.Experience of providing reporting and briefing on sustainability matters to internal and external stakeholders.Previous experience in waste, water or energy sectors would also be highly desirable, as would a proven track in developing and implementing sustainability strategies and initiatives.Excellent project management skills, with the ability to lead and drive change across an organisation, with strong analytical and problem solving - abilities, with a focus on data driven decision making.If you feel that you'd be a great fit for this role and Veolia then we'd like to find out more about you.What's next?Apply today, so we can make a difference for generations to come.We're proud to be listed in The Sunday Times Best Places to Work 2023, being named as a Top 10 Very Big Organisation and Highly Commended as a workplace for 55+.This accolade further demonstrates our commitment to our people and our actions in creating an environment where everyone can be their true selves and enjoy working at Veolia.We want to ensure that you feel supported throughout the application process and provide reasonable adjustments where necessary and requested. If you require any reasonable adjustments as part of your application and interview process please do not hesitate to let us know.Here at Veolia, we're proud to be known as an equal opportunities employer. We know how important it is to be fully committed to building and maintaining a diverse and inclusive place to work for every one of our colleagues. So no matter their age, gender, gender expression, disability, race, ethnicity, religion, belief, sexuality or veteran status, every applicant who meets the minimum requirements will be considered fully.Here at Veolia, we're proud to be known as an equal opportunities employer. We know how important it is to be fully committed to building and maintaining a diverse and inclusive place to work for every one of our colleagues. So no matter their age, gender, gender expression, disability, race, ethnicity, religion, belief, sexuality or veteran status, every applicant who meets the minimum requirements will be considered fully.",https://findajob.dwp.gov.uk/details/13872854,,
Environmental Sustainability Advisor,J Murphy & Sons,"Beulieu, CM3 3HR","Recently named as one of the 'Best Big Companies to Work For’ by Best Companies, J. Murphy & Sons Limited (Murphy) is a leading international, specialist engineering and construction company founded in 1951 with a purpose to improve life by delivering world-class infrastructure. Operating in the United Kingdom, Ireland and Canada, Murphy provides better engineered solutions to infrastructure sectors including transportation; natural resources; power and water. Headquartered in London, Murphy has a number of related businesses – Ground Engineering; Utility Connections; Murphy Plant; Murphy Process Engineering; Pipeline Testing Services; Specialist Welding Services; and Electrical Services. Murphy is a specialist in delivering pipelines, design, structural steel, tunnelling, fabrication, bridges and piling, and has a substantial holding of plant, equipment and facilities. Murphy employs around 3,600 engineers, professional managers and skilled operatives around the world. Together, they work as ‘One Murphy’- directly delivering the people, plant and expertise needed to make projects a success. #MoreToMurphyEnvironmental Sustainability Advisor – EssexDoes your chosen industry not give you the excitement it once did? Are you ready for a new and exciting challenge?Then this opportunity could be perfect for you! We are looking for a talented and driven individual to join our growing environmental and sustainability team. You will be the main point of contact for all Environmental & sustainability matters across your portfolio of projects. So if you have a passion for the environment and sustainability and want to positively challenge the norm – Then join our award-winning team.Our OverviewAs a member of our team, you will be working in our £200m Transportation (Rail) business, reporting to our Environmental & Sustainability Lead. You will be responsible for climate action and sustainability practices on a portfolio of projects across our rail framework.What you will be doing:- Support projects on our Road to Net Zero and our client commitments to BNG, and circular economy- Engage in educational & community activities to deliver positive social value.- Develop Environmental and Social Management Plans that enable projects to manage their risks and opportunities- You will take an active part in ensuring environmental incidents are investigated, and suitable lessons learnt/actions are captured and communicated appropriately to prevent reoccurrences.- Work with key stakeholders/ regulators  and ensuring that they are familiar with your portfolio of projects and where appropriate apply for permissions/ consents- Deliver assurance processes across your portfolio of work liaising closely with your safety & health counterpartWho we’re looking for:- Hold a degree in an appropriate environment or sustainability discipline.- Having membership of either IEMA, or alternative membership in institutes committed to global sustainability, is attractive, as is relevant work experience, volunteering roles or work placements.- Confident communicator with a range stakeholders and project teams- Have a passion for the environment and sustainability in order to continue to develop- Ability to manage the delivery of sustainability on multiple projects at the same time- Good spoken and written English language skills.",https://findajob.dwp.gov.uk/details/13820067,,
Senior Lecturer in Environmental Sustainability,University of Derby,"Derby, Derbyshire","Challenging, interesting and constantly changing, the University of Derby is an exceptional place to learn and an incredibly rewarding place to work.Ours is an extraordinary educational environment and because we specialise in identifying and developing individual potential, you can be confident you'll receive all the help and encouragement you need to build a rewarding career with lots of opportunities to progress.Our combined higher and further education offering is spread over campuses in Derby, Buxton, Leek and Chesterfield and we have some of the best university facilities in the UK, investing more than £200 million in facilities in the last 10 years.We achieve outstanding results for our teaching and research and with more than 34,000 people choosing to study with us every year, we depend on the dedication of a team of 2,200 academic and professional services staff.Financially strong and seriously ambitious we offer our employees a family-friendly, rewarding career with lots of opportunities to progress.About the roleThe Discipline of Environmental Science is moving quickly to meet the requirements of both cutting edge academic research and collaboration with external organisations who wish to improve their environmental practices. We are looking for a Senior Lecturer in Environmental Sustainability to join our team, contributing to our programmes with an emphasis on the human aspects of environmental sustainability, which will help us to further advance environmental sustainability through our students, graduates and partners.As a member of the Environmental Sciences team you will take a leading role in developing our undergraduate and postgraduate programmes, keeping the curriculum authentic, applied and future focussed, and ensuring an exceptional student experience. Industry engagement and/or research activity are an important part of the role and you will be responsible for projects and managing other researchers where appropriate.For further information and informal enquiries regarding the role, please contact Anne Danby, Course Director via a.danby@derby.ac.ukFor enquiries regarding your application and for sponsorship eligibility, please contact the recruitment team via recruitment@derby.ac.ukApplications from job seekers who require sponsorship to work in the UK are welcome and will be considered alongside all other applications. Whilst this role is eligible for sponsorship under the Skilled Worker Route, we recommend that you assess your individual eligibility before applying for this position. Visit https://www.gov.uk/skilled-worker-visa for more information.To be eligible for sponsorship you must evidence that you hold all essential qualifications listed on the job description. Please note, equivalent experience will not be accepted as evidence of the essential qualifications.We are committed to safeguarding and promoting the welfare of children and vulnerable adults and expect everyone who works for us to also share this commitment and to treat people with courtesy and respect.",https://findajob.dwp.gov.uk/details/13813778,,
Sustainability Consultant,Hays Specialist Recruitment,"London, London, SW1W 0NT","Your new companyThe client is looking for a sustainability expert to join our expanding team in London. The ideal candidate should have prior experience in sustainability consulting. The role involves working in our London office and collaborating with teams across all our UK offices to some extent. The job responsibilities include liaising with clients and providing technical input.Your new roleAs a Sustainability Consultant, you will work closely with technical disciplines within the organisation and clients to help them measure and improve their sustainability performance. Your tasks may vary depending on projects and scope, but you'll typically need to:Conduct research and use environmental impact assessments to measure issues such as carbon footprint and energy performance.Collect and analyse data, and produce reports to demonstrate your findings.Present your findings to clients.Provide advice on how clients can meet regulations laid out in environmental law.Recommend technologies and explain the most cost-effective and beneficial routes to sustainability. This could involve switching to alternative energy sources to lower energy costs, smarter water usage, reducing waste, and lowering carbon emissions.Support and assist the Head of Sustainability with the wider Sustainability Strategy.Assist with the communications (both internal and external) of our progress and achievements in sustainability.Implement project requirements to fully meet the client specification in accordance with relevant standards.Managing projects which involve identifying potential clients, preparing marketing materials, bid documents, and managing resources and budgets to deadline.What you\'ll need to succeed2-3 years\' experience working in a UK consultancy for private and public-sector developers and operators, on a range of development / infrastructure projects.Experience of working within different sectors such as Commercial, Industrial, Retail and ResidentialExperience of carbon life cycle assessment, developing net-zero carbon strategies and supporting organisational carbon footprinting.Specialising in environmental design, energy efficiency and low carbon solutions within the built environment with experience from concept and planning stages through to completion.Experience with LCA, WLCA and Circular Economy Assessments.Experience of implementing circular economy principles across the project and delivery of associated reports such as SWMP, OWMP.What you need to do nowIf you\'re interested in this role, click \'apply now\' to forward an up-to-date copy of your CV, or call us now.If this job isn\'t quite right for you, but you are looking for a new position, please contact us for a confidential discussion on your career.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found at hays.co.uk",https://findajob.dwp.gov.uk/details/13838815,,
Sustainable Agriculture Specialist,Tesco,"Welwyn Garden City, Hertfordshire, AL7 1GA","About the roleYou will manage agricultural projects across a number of key initiatives including supporting delivery of our sustainable feed commitments and managing our Future Farmer Programme.You will be responsible forSupporting the delivery of the long term strategy for Tesco agriculture supply chains, with a speific focus on sustainable feed and supporting our suppliers to meet our deforestation and conversion free commitments.This includes supporting the agriculture and environment teams in embedding sustainable feed requirements within our categories and supply chains, supporting suppliers on innovation and alternative feeds and working with our government affairs team to drive any policy or advocacy asks.Working with colleagues, suppliers and producers to help them better understand and meet customer expectations on environmental, animal health & welfare and farming best practice.Working as part of the Sustainable Agriculture team and broader Sustainability Team, sharing learnings across our function and taking ownership of cross-cutting elements and projects within our strategy.Owning and project managing a number of initiatives including (but not limited to) the next phase of our Future Farmer Programme, supporting the Agri T Jam and the agriculture team\'s input into Tesco\'s presence at the major Agriculture Shows.Building strong internal relationships with our commercial, technical and standards and audit team as well as key external relationships including our external data service providers, suppliers and farmers.You will needOperational Skills:Microsoft OfficeStakeholder ManagementProject ManagementSupplier ManagementExperience:Degree in Agriculture, sustainability or related subject (such as animal science, farm business management etc)Experience within the agriculture industry or sustainability sector relating to agricultureExperience of project management, delivering and sustaining change#LI-DS1​#LI-HybridWhat’s in it for youWe offer excellent benefits that help make Tesco a great place to work! These include but are not limited to:Annual bonus schemeHoliday starting at 20 days plus a personal day rising to 22 days after 12 months (plus Bank holidays)Retirement savings plan - save between 4% and 7.5% and Tesco will match your contributionLife Assurance - 5 x contractual pay24/7 virtual GP service, Employee Assistance Programme (EAP) for you and your family, free access to a range of experts to support your mental wellbeingThe right to request flexible working from your first day with us26 weeks maternity and adoption leave (after 1 years’ service) at full pay, followed by 13 weeks of Statutory Maternity Pay or Statutory Adoption Pay and we also offer 4 weeks fully paid paternity leaveGreat colleague deals and discounts, saving you money on everyday purchases, eating out and utility bills for the homeAccess to our colleague networks providing a space for colleagues to come together from a range of backgrounds. For more information about our colleague networks please click hereOpportunities to get on - take advantage of our ongoing learning opportunities and award-winning training, to help you achieve the job and career you wantClick Here to read more about the benefits we have available for our colleaguesAbout usTesco has become a market leader by doing the little things that really matter for our customers and colleagues.It’s part of what makes Tesco such a great place to work, and we’re proud to have been accredited as one of Britain’s Top Employers again this year.We're the UK's number one retailer and we pride ourselves on offering a great shopping experience. We are passionate about our food, merchandise and services and will always try to get things right for our customers.But did you know we also offer great job opportunities? With stores, distribution centres and offices across the UK, and a vast variety of roles, we are always looking for people who have a hunger to work with customers and colleagues across our exciting business.We believe in treating each other with respect and giving everyone an equal opportunity to get on. It's our people that make the difference every day - helping us make a difference for our customersShould you be successful in your application, your offer will be subject to and conditional upon you providing your bank account details before your agreed start date.For more information about us please visit www.tescoplc.comProud member of the Disability Confident employer schemeDisability ConfidentAbout Disability ConfidentA Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go toDisability Confident.",https://findajob.dwp.gov.uk/details/13844683,,
"Environment, Sustainability & Energy Officer | Blackpool Teaching Hospitals NHS Foundation Trust",Blackpool Teaching Hospitals NHS Foundation Trust,"Blackpool, FY48NR","Please note that this role is advertised on behalf of Atlas BFW Management Ltd (Atlas), a wholly-owned subsidiary of Blackpool Teaching Hospitals NHS Foundation Trust and as such, successful applicant(s) will be on Atlas Terms and Conditions. For further information about Atlas, please visit: www.bfwml.co.ukThe successful post holder will work in a small team of health, safety, environment, and fire safety specialists in managing KPIs for Environmental, Sustainability & Energy. Duties include production of climate change risk assessments, advising service users on management of environment, sustainability & energy, assisting with the maintenance of emergency planning documentation.You will need excellent IT skills and can produce and present reports. Working closely with our client base, IPCC, clinical users, and external organisations you will support the Health, Safety, Environment & Quality (HSEQ) Manager in meeting legislative obligations.Lead with the progression of the Atlas Sustainability Plan, enduring progress is monitored, and key milestones are achieved. Act as Chair of the Sustainable Working Group in the absence of the Director of Operations. To support Atlas in its annual data returns (e.g., ERIC/PAM) and annual Board and Sustainability Reports Assist with all contractual requirements in relation to response and delivery of KPI’s and reactive activities. Conduct assessments/audits of linked departments to aid in maintaining ISO accreditations. Record information from various meters on site (e.g., water, gas, electric) and measure usage against baseline objectives and identify any significant spikes then complete associated reports as required. Production of reports as required for Atlas OMG and Board, and the Trust and as part of corporate governance reporting framework, in relation to environment & sustainability matters. Conduct audits and inspections around the site to aid in identifying areas where resources may be lost (e.g., uncapped leeks from buildings coming from a serviced water source. To assist with completion of climate change risk assessments Deputise for the Energy Manager for environmental, sustainability and energy at appropriate internal functions and meetings with the Trust and at appropriate external functions and meetings. Use effective communication channels between Atlas and the Client/organisation in relation to environmental, sustainability and energy specialist advice.As experts in healthcare facilities and property management, we deliver fully-managed healthcare facilities services and property management solutions to clients throughout Blackpool, Fylde, Wyre and North Lancashire.Our teams ensure our clients’ properties and amenities provide the best environment for their customers, patients, staff and visitors.As a wholly owned subsidiary of Blackpool Teaching Hospitals NHS Foundation Trust, we support the Trust’s frontline clinical services and assist with the delivery of patient care, through our service provision.Our profits are used to help grow our business, whilst providing additional employment, training and development opportunities for local people.Visit: bfwml.co.uk for further information.Please ensure you have read the Job Description & Person Specification before applying for this post.Main duties and Responsibilities:• Contribute to achieving and maintaining quality outcomes and standards.• Ensure compliance with Data Protection Act and General Data Protection Regulation principles and promote Information Governance.• Be required to work independently and be responsible for their own day to day planning and organisation required to fulfil the duties and responsibilities of the post.• Act in a way that is compliant with the Atlas Financial Governance Framework in the discharge of any budget management responsibilities; and, where designated as a budget holder for assigned functions and teams, be responsible for ensuring that pay and non-pay related expenditure within the department is managed appropriately, within budget, and that the appropriate documentation is available for scrutiny.• Ensure that work is undertaken in line with appropriate policies, procedures and Standard Operating Procedures (SOPs).• Ensure that the ordering, receipting, storage, and controlled usage of any materials required for both the acute estates services (procurement/requisitioning), is undertaken via the appropriate systems and in line with agreed SFIs, policies and procedures.• Ensure that all official records are maintained as appropriate.• When required, deal and respond efficiently with any concerns or complaints in line with the Atlas complaints procedure.• Attend any training courses as deemed necessary by Atlas’ management and identify own personal training requirements and opportunities. Keep knowledge and skills up to date with Continuing Professional Development (CPD) and participation in the Atlas Mandatory Training scheme as appropriate.• Where required, represent Atlas with active participation in both national and regional level external working groups.• Undertake benchmarking exercises with appropriate datasets to seek continuous improvement ideas.• Attend periodic seminars / user groups organised by NHS bodies to keep up to date with the latest policies and directives and to share best practice.• Any other duties deemed commensurate with the post.• Be available for on-call and out of hours activities as directed from time to time• Exert physical effort for several long periods during a shift.• Work at heights, carrying health and safety equipment and tools, coming into contact with dust and dirt on site and health and safety equipment.• Use surveying tools and measuring equipment. This could be daily and may involve working at height (ladders, access to ceilings etc.)• • Ensure that individual objectives are undertaken on an annual basis and that that associated action plans are developed and completed. Be able to conduct oneself in meetings professionally and be able to be entrusted with sensitive information. Have frequent exposure to unpleasant working conditions as part of risk assessment, audits, and surveys.• Demonstrate effective communication skills, being able to communicate with all stakeholders, including clients, visitors, external third-party contacts, senior managers and staff from other departments.The job description is not intended to be exhaustive, and it is likely that duties may be altered from time to time in the light of changing circumstances and following discussions with the post holder.The post holder may be required to work across the Company at any time throughout the duration of their contract, which may entail travel and working at a different location and attending other sites as necessary.As post requires travel to sites across the organisational footprint, the post holder must hold a valid clean driving licence and have access to their own vehicle.This advert closes on Wednesday 24 Jan 2024Proud member of the Disability Confident employer schemeDisability ConfidentAbout Disability ConfidentA Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go toDisability Confident.",https://findajob.dwp.gov.uk/details/13761287,,
28433 - Next Delivery Vehicle Environment and Sustainability Advisor - NEAS Team 2100,Environment Agency,London,"Are you passionate about protecting people and wildlife of London from tidal flood risk?Do you want to be involved in world leading adaptive flood risk management programme?Do you enjoy advocating for positive environmental and sustainability outcomes?Does managing varied portfolio of environmental projects excite you?This is an influential and exciting Environment and Sustainability Advisor position at the heart of the Next Delivery Vehicle, developing the approach to environmental compliance and sustainable conformance for the next period of flood risk management in the Thames Estuary. As a key part of a collaborative team this position directly supports implementing the Environment Agency’s Thames Estuary 2100 Plan. The trailblazing adaptive management plan sets out how we will manage tidal flood risk in London and the Thames Estuary throughout the 21st century.• We enable the Environment Agency to be a leader in the provision of sustainable infrastructure.• We support the adoption of innovative approaches to achieve sustainable outcomes.• We ensure environmental compliance and sustainability conformance.• We identify and deliver environmental enhancements to create a better place.You will work collaboratively to deliver ground-breaking and award-winning work, leaving a legacy for the future. This will be achieved in collaboration with a network of stakeholders. These include internal departments, statutory bodies, delivery partners, businesses, and communities.Your approach and positivity will motivate and inspire the team to achieve successful multi-benefit schemes which enhance the environments and communities we work withinResponding to incidents is a central part of what we do. You will be required to have an incident role and make yourself available to respond to incidents or provide business continuity support during an incident. This may attract an additional payment and full training and alternative working arrangements will be available to support you with your incident role.The teamYou will be member of the National Environmental Assessment and Sustainability (NEAS) team, which is helping develop the Next Delivery Vehicle. Our inclusive team puts sustainability at the heart of decision-making across this Flood Risk Management programme. We oversee the effective management of environmental compliance and sustainability conformance across the Next Delivery Vehicle Project.We are comprised of Environmental Project Managers, Sustainability specialists, Landscape and Heritage specialists as well as support and leadership colleaguesExperience/skills requiredYou will have (essential):• Great communication skills and the ability to develop and maintain effective relationships with internal and external customers and partners.• Experience in collaborating with others to deliver environment and sustainability benefits and manage environmental risk and be able to communicate this effectively.• A good understanding of different technical areas of expertise, such as sustainability, habitats regulations, environmental net gain, natural capital, circular economy, social value, planning or environmental design.• Programme and/or project management skills.• Experience in mentoring and supporting colleagues with varying degrees of experience.Desirable:• Writing or reviewing environmental reports would be an advantage.• Membership of relevant professional environmental institute.• Knowledge of flood and coastal risk management and/or asset management.",https://findajob.dwp.gov.uk/details/13805613,,
28433 - Next Delivery Vehicle Environment and Sustainability Advisor - NEAS Team 2100,Environment Agency,Norwich,"Are you passionate about protecting people and wildlife of London from tidal flood risk?Do you want to be involved in world leading adaptive flood risk management programme?Do you enjoy advocating for positive environmental and sustainability outcomes?Does managing varied portfolio of environmental projects excite you?This is an influential and exciting Environment and Sustainability Advisor position at the heart of the Next Delivery Vehicle, developing the approach to environmental compliance and sustainable conformance for the next period of flood risk management in the Thames Estuary. As a key part of a collaborative team this position directly supports implementing the Environment Agency’s Thames Estuary 2100 Plan. The trailblazing adaptive management plan sets out how we will manage tidal flood risk in London and the Thames Estuary throughout the 21st century.• We enable the Environment Agency to be a leader in the provision of sustainable infrastructure.• We support the adoption of innovative approaches to achieve sustainable outcomes.• We ensure environmental compliance and sustainability conformance.• We identify and deliver environmental enhancements to create a better place.You will work collaboratively to deliver ground-breaking and award-winning work, leaving a legacy for the future. This will be achieved in collaboration with a network of stakeholders. These include internal departments, statutory bodies, delivery partners, businesses, and communities.Your approach and positivity will motivate and inspire the team to achieve successful multi-benefit schemes which enhance the environments and communities we work withinResponding to incidents is a central part of what we do. You will be required to have an incident role and make yourself available to respond to incidents or provide business continuity support during an incident. This may attract an additional payment and full training and alternative working arrangements will be available to support you with your incident role.The teamYou will be member of the National Environmental Assessment and Sustainability (NEAS) team, which is helping develop the Next Delivery Vehicle. Our inclusive team puts sustainability at the heart of decision-making across this Flood Risk Management programme. We oversee the effective management of environmental compliance and sustainability conformance across the Next Delivery Vehicle Project.We are comprised of Environmental Project Managers, Sustainability specialists, Landscape and Heritage specialists as well as support and leadership colleaguesExperience/skills requiredYou will have (essential):• Great communication skills and the ability to develop and maintain effective relationships with internal and external customers and partners.• Experience in collaborating with others to deliver environment and sustainability benefits and manage environmental risk and be able to communicate this effectively.• A good understanding of different technical areas of expertise, such as sustainability, habitats regulations, environmental net gain, natural capital, circular economy, social value, planning or environmental design.• Programme and/or project management skills.• Experience in mentoring and supporting colleagues with varying degrees of experience.Desirable:• Writing or reviewing environmental reports would be an advantage.• Membership of relevant professional environmental institute.• Knowledge of flood and coastal risk management and/or asset management.",https://findajob.dwp.gov.uk/details/13805619,,
