title,company,location,description,link
28585 - Permitting Process Technical Specialist,Environment Agency,uk,"
                    We are fully committed to having an inclusive workforce to reflect the communities we serve. We welcome flexible working patterns for all our vacancies, including job share, so please include clearly any information regarding your preferred working arrangements on your application.The Environment Agency has exciting opportunities for you to develop your skills! Working with us means protecting and improving the environment and dealing with issues of national importance. We address the effects and causes of climate change, perhaps the most serious long-term threat to the environment that we face.We are looking for an enthusiastic and innovative person to join our Water Resources Technical Team for a 12-month assignment. We provide technical support services, implement process change, and undertake assurance for the largest permitting regime within the National Permitting Service. We work with partners across the organisation to ensure our processes are fit for purpose now and in the future. Our workload is hugely variable. Designing and delivering training, completing complex data analysis, through to managing relationships with important stakeholders.You’ll pro-actively manage a full workload, escalating issues and identifying potential solutions as appropriate, to deliver to a high standard and to tight deadlines. To achieve this, you’ll have excellent interpersonal skills to develop and maintain working relationships.Accountabilities:·To act as a process specialist for Water Resources permitting·Being a subject matter expert/ point of contact for internal stakeholders across the regulatory cycle·Leading on regime and service critical improvement projects·Conducting regular and targeted assurance in line with regime objectives·Managing key guidance and process documentation in line with Organisational schedules·Working collaboratively with regulatory colleagues across the business including providing permitting insight along with supporting dataYou’ll have the opportunity to develop your skills, expertise, and career in this supportive environment. The team You will join our friendly and helpful Water Resources Technical Team within the National Permitting Service and will be well supported by other Technical Specialists and the Team Leader. The team provides services to the Water Resources Permitting Teams located within each Permitting Centre.The National Permitting Service has responsibility for delivering the majority of the Environment Agency’s permitting responsibilities. Permitting is the foundation of regulation, and crucial to the economy, people, and wildlife. Experience/skills required  ·In depth understanding of the Water Resources permitting process and the activities we regulate·Working knowledge of wider Water Resources legislation and permitting processes·Understanding of Continuous Improvement and the associated strategies needed to implement process change·Understanding of Change Management and the associated strategies needed to influence change·Experience of training and/or mentoring staff in a variety of styles and platforms·Proficient across the Microsoft Office application suite ·Proficient in developing and maintaining SharePoint Online content·Understanding of business, resource and finance models·Strong analytical and problem-solving skills·Ability to manage multiple projects and priorities·Demonstrate the Environment Agency’s culture and behaviours·Recognises strength in diversity, promoting an inclusive workplace·Build rapport and positive new working relationships quickly·Organised and personable·Strategic thinker·Undertake national travel to meet dispersed team members and attend meetings                 ",https://findajob.dwp.gov.uk/details/13924547
Care & Support Worker (Health & Social Care),Monmouthshire County Council,"Monmouthshire, Wales","
                    We are looking for people who can connect and buildrelationships with others in Monmouthshire! We are looking forpeople to support people in their own homes. We need peoplewho are kind, love spending time with people in the community,easy to talk to and can build relationships quickly with peoplefrom all walks of life. We are looking for people with goodcommunication skills who are able to work within thecommunity and who want to make a difference. We offer agreat rate of pay with weekend and bank holidayenhancements                ",https://findajob.dwp.gov.uk/details/13924537
Project Manager,Scottish Association for Marine Science,"Oban, Argyll & Bute","
                    Location: SAMS, ObanContract Type: Open-endedWorking Pattern: Full Time (37hrs per week, Monday to Friday)Salary: £42,576.55 - £47,897.23 per annumThe Role:The aim of this role is to support the senior management team in the delivery of key strategic and operational activities. You will work closely with senior staff to create, deliver and report against the annual SAMS Operating Plan, including quarterly updates to the Board; work closely with Directorate to monitor corporate Key Performance Indicators, including the annual monitoring report for the Board; work closely with internal and external stakeholders for major SAMS projects (e.g. regional growth deals and levelling up); provide support for priority fundraising activities, drawing on project management skills and experience.Our Ideal Candidate;Our ideal candidate will have a track record (5+ years’ experience) of managing parallel projects: organisational, capital and/or revenue - in complex organisations, with budgets over £1 million. Consequently, you will be able to effectively manage changing priorities in a dynamic operating environment.You will have great communication skills, including relationship-building and negotiations with a wide range of stakeholders. You will have experience of collective decision-making with senior colleagues, whilst being able to demonstrate effective programme leadership.Employee Benefits:Our employees are the heart of our business. Recruiting and retaining the right people is the key to our success. Rewarding our employees is therefore an important component of our employment package and we have a wide range of benefits on offer to staff. These can enhance your personal and professional development, your health and well-being and your financial security.Additionally, SAMS encourages and recognises excellence among staff through various recognition and reward arrangements. We constantly develop and expand the benefits and offers for our colleagues. SAMS offers a generous salary and pension as well as employee benefits package. We also have supportive policies to assist absence, family and other leave types.Interested?We would love to hear from you. If you have queries on the job and would like to talk these through before applying, please email these through, in the first instance, to HR@sams.ac.uk For more information, please visit www.sams.ac.uk/vacancies Applications must include CV and cover letter and should be sent electronically torecruitment@sams.ac.uk quoting Job Ref ‘D36/23.AM’ in the subject heading. Your cover letter should outline your experience to date as well as what you can bring to the role. Closing date for applications is Monday 11th March 2024 – Interviews likely to be held in March/April 2024.Please note, candidates must already have full rights to work in the UK when applying. ",https://findajob.dwp.gov.uk/details/13924535
Community Rehab Support Worker (Health & Social Care),Monmouthshire County Council,"Monmouthshire, Wales","
                    We are looking for people who can connect and build relationships with others inMonmouthshire!We are looking for people to support people in their own homes. We need peoplewho are kind, love spending time with people in the community, easy to talk to andcan build relationships quickly with people from all walks of life. We are looking forpeople with good communication skills who are able to work within the communityand who want to make a difference.We offer a great rate of pay with weekend and bank holiday enhancements                ",https://findajob.dwp.gov.uk/details/13924534
Community Rehab Support Worker (Health & Social Care),Monmouthshire County Council,"Abergavenny, Monmouthshire","
                    We are looking for people who can connect and build relationships with others inMonmouthshire!We are looking for people to support people in their own homes. We need peoplewho are kind, love spending time with people in the community, easy to talk to andcan build relationships quickly with people from all walks of life. We are looking forpeople with good communication skills who are able to work within the communityand who want to make a difference.We offer a great rate of pay with weekend and bank holiday enhancements. ",https://findajob.dwp.gov.uk/details/13924531
Specialist Learning Mentor (ASC)- MN11244,Warwick College Group,"Evesham, Worcestershire","
                    This role is based in the UK and will be working on site in our UK based College. In order to comply with our mandatory pre-employment checks, the successful candidate will be required to provide original identification documents in person to our UK based HR Team.This role is pro rata, so the salary you will be receiving is £10,482.07- £11,488.04 per annum.Protection of Children and Young Persons (The Children's Act 1989)Any offers of appointment will be subject to a Disclosure and Barring Service (DBS) check (formerly CRB), a certificate of good conduct if applicable, plus receipt of satisfactory references, Occupational Health clearance, an understanding of safeguarding and qualifications verification. An Enhanced DBS check is required for this position as you will be working within 'Regulated Activity' within a specific place (i.e. the College).This role is classed as working within Regulated Activity. It is an offence to apply for this role if you are barred from engaging in regulated activity relevant to children. By applying for this position, you agree to an Enhanced DBS check in line with DBS regulations.Background to the PostWCG has three core values, the first of which is to put the student first. Young people have the right to request that an institution is named in their Education, Health and Care plan (EHCP), and local authorities have a duty to name that institution in the EHC plan unless, following consultation with the institution, the local authority determines that it is unsuitable for the young person’s age, ability, aptitude or Special Educational Needs or that to place the young person there would be incompatible with the efficient use of resources or the efficient education of others.WCG is recognised as offering an inclusive and successful provision at all levels for Young People whose learning is affected by autism. The main purpose of this Specialist Learning Mentor post is to work with students with Autism Spectrum Conditions within their learning programme and help them towards achieving independence and reach their potential.The Specialist Learning Mentor’s time will be spent with the identified student/s in a mentoring capacity both in the classroom/workshop/practical environment and 1:1 mentoring outside of taught sessions. There will be a requirement to undertake administrative tasks relating to recording student progress and supporting student retention and achievement.Duties & Responsibilities● To provide support 1:1 in-class, or mentoring support outside the classroom as  directed by the SEN Team Leader/ASC Specialist Support Lead.● To assist the class lecturer with the preparation/ adaptation of materials or  activities for named student’s use.● To actively promote and support independent learning, particularly through the  use of Technologies.● To be a key worker for designated student/s to help reach their outcomes as  stated in their EHCP.● To support the Specialist Support Lead in the EHCP Annual Review Process.● To work closely with the personal tutor/Personal Learning Adviser to ensure that  the individual student targets are being monitored and reviewed.● With knowledge/permission of personal tutor/ Personal Learning Adviser/SEN  Team Leader/Specialist Support Lead, make contact with parents, either by  telephone or in writing where appropriate.● To act as a trouble-shooter and work with the student to ensure they meet  deadlines and catch-up on any missed work.● To attend Academy and Inclusion Team meetings.● To undertake training and development as required including Team Teach.● To train and act as invigilator and/ or Human Support (Reader, Scribe, Prompt) in  exams.● To accompany and support the student during work experience placements,  and/or trips, if appropriate.● To undertake administrative duties which will include keeping their own records,  completing ProMonitor records, updating tutors with student progress reports and  completing regular student support/progress reviews.● Work collaboratively with College staff to produce Individual Risk Assessment,  Personal Emergency Evacuation Plans, Medical Protocols and support the  completion of exam access arrangements and Medical Protocols.Offers of WorkFor the successful candidate a conditional offer of work will be made. Our offer of work will be conditional upon a number of mandatory pre-employment checks, to include but not limited to: DBS, Barred List check, right to work check, internet search, TRA check (academic posts).Essential Attainments● Demonstrate English and Maths skills equivalent to Level 2.● A qualification relevant to Specific Learning Difficulties at Level 2 or above.● Working knowledge of information technology such as e-mail, the internet and  other software applications, including assistive technologies.● Previous experience of supporting young people with Autism Spectrum Condition. ● Experience of liaison, advocacy and collaborative working.● Experience in working with learners on a 1-2-1 basis. ● Experience of coaching and motivating learners of different ages and abilities. ● Knowledge of Educational Health and Care Plans and the SEND Code of Practice  (2014).Desirable Attainments● GCSE Grade C or above in English and Mathematics, or Level 2 equivalent  qualification.● A qualification in Autism Spectrum Condition. ● Previous experience of working in Further Education. ● Previous experience of managing students with behaviours for concern.                ",https://findajob.dwp.gov.uk/details/13924530
1591 - Apprenticeship Assurance & Compliance Auditor,Construction Industry Training Board,"Glasgow, Scotland","
                    Job Title: Apprenticeship Assurance & Compliance AuditorLocation: Mobile / ScotlandSalary Range: £36,000 - £44,000Role Purpose:Responsible for implementing and carrying out internal compliance audits and other assurance based activities to ensure CITB complies with all funding body and internal process requirements. Key responsibilities and accountabilities:To manage compliance activity across CITB Apprenticeships / NCCTo carry out internal compliance audits to ensure CITB complies with all funding body requirementsMaintain and annual assurance and compliance cycleProduce written audit reports in line with target datesEnsure operational teams receive feedback on all internal and external control findingsWork with the relevant teams to ensure all data inconsistencies are resolvedMonitor open audit actions and report on progress to closureWork with and support operational teams to ensure actions are closedProvide subject matter expertise around funding rule and complianceWork closely with operational teams to support the effective completion of enrolment documentation, including resolving any queries in a timely mannerSupport with external funding body auditsSupport with process changes required following funding rule changesProvide hands on support to improve processes and documentationMake recommendations for future process improvementsSupport with non-funding related compliance activities e.g., document control processesKnowledge and experience:EssentialUp-to-date understanding of apprenticeship programmes and the apprenticeship learning journeyKnowledge of the work-based learning / apprenticeship environmentDetailed understanding of apprenticeship compliance and the funding rulesExperience in ESFA / DfE data compliance and audit regimesEffective report writing skills to clearly communicate scope, outcomes and recommendations from audit activitiesAble to identify operational / compliance risksExperience of managing relationships, both external and internalExcellent IT skillsProven track record of consistently achieving performance targetsExcellent verbal and written communication skillsDesirableQuality Management and / or audit qualificationsSpecial Conditions/Other Requirements:Occasional travel and overnight trips may be requiredEnhanced Disclosure & Barring Service checkBenefits:33 days holiday per year (Including bank holidays)Flexible benefits including childcare vouchers, cycle to work and insurancePension schemeEmployee discountsLong service awardsCITB recognition schemeEmployee assistance programme                            

                                    Proud member of the Disability Confident employer scheme
                                


Disability Confident





            About Disability Confident
        

A Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go to Disability Confident.

 ",https://findajob.dwp.gov.uk/details/13924525
Driver / Vehicle valeter,geraint jones 4x4 ltd,"Whitemill, Carmarthen","
                    An important member of our team; you will ensure that vehicles are cleaned and prepared to the highest standards ready for delivery. You must be reliable, conscientious and hardworking with good attention to detail and a high regard for customer care.Main Purpose of JobDriver - to collect vehicles and deliver vehicles To carry out all valet work to the high standard expected.The continual maintenance of all vehicle displays including the new, used and demonstrator fleet.Detailed Responsibilities• To carry out all work to the expected standard.• To assist in the transportation of any vehicles.• To maintain all vehicle displays, new and used.• To maintain the cleanliness of the demonstrator fleet and refuel when required.• To advise the Valet Supervisor / Sales Manager of any additional work necessary that may be discovered during the valeting process.• To ensure that all vehicles worked on are carefully handled and reasonable care is taken at all times.• To maintain the workplace in a serviceable, tidy and clean condition.• To be prepared to work overtime with reasonable notice (24 hours) if requested.• To assist, when requested, in any aspect of site organization and tidiness.To apply please call Marie Jones or Beryl Jones on 01267 290 900.                ",https://findajob.dwp.gov.uk/details/13924521
Reflection and Resolution Room (RRR) Co-ordinator,St George's Academy,"Sleaford, Lincolnshire","
                    Salary: NJC Scale 4, pts 7 to 11, £20,243 to £21 647 (actual)Hours: 37 hours per week, 38 weeks per year (Usual working hours are 8:00 to 4:00 with a finish of 3:30 one day per week, to be agreed dependent on Academy needs)We currently have an exciting opportunity for an enthusiastic individual to co-ordinate the Academy’s Reflection and Resolution Room, based on our Sleaford Campus.Key elements of the role will include co-ordinating and supervising internal exclusion and maintaining appropriate standards of behaviour in the room, in accordance with school policy. Maintaining appropriate records of discussions with students and communication with parents regularly through the period is also a requirement of the role.St George’s Academy is a large, successful, 11-18 mixed secondary school of 2,426 students (including 362 in the sixth form and 525 on our Ruskington Campus) with outstanding facilities in all areas. The Academy serves Sleaford, Ruskington and the surrounding Lincolnshire villages.If you would like to join a very supportive team in an Academy of enthusiastic and friendly dedicated staff, then we would be delighted to hear from youFurther details including the job description for the role and application forms are available from our website at www.st-georges-academy.org. Please note that CVs are not acceptable. Should you have any questions or wish to arrange an informal visit to the Academy, you can contact us by email to jobs@st-georges-academy.org or by calling 01529 301162. Informal visits are welcomed to all roles and can be offered outside of core school hours where this would be helpful. St George’s Academy is committed to safeguarding and promoting the welfare of children and young people and expects all staff to share this commitment. Any successful applicant will be required to undertake an Enhanced Disclosure check by the Disclosure and Barring Service. Additional employment checks will also be carried out for all roles in accordance with “Keeping Children Safe in Education Statutory Guidance for Schools and Colleges”. ",https://findajob.dwp.gov.uk/details/13924517
Tenancy Sustainment Officer,Tamworth Borough Council,"Tamworth, Staffordshire","
                    TAMWORTH BOROUGH COUNCILNEIGHBOURHOODSTenancy Sustainment Officer £28,770 - £31,364 per annum plus essential car user allowanceHybrid working contract37 hours per weekPermanentSet in the beautiful county of Staffordshire, Tamworth is a vibrant town with rich heritage. Located in the centre of Britain, with a growing population of over 77,000 people, Tamworth is a borough with much to be proud of. Our transport links, unique shopping experience, developing town centre, green spaces, leisure offer, including our cultural and wide-ranging outdoor events programme, as well as our heritage buildings, all help make it a great place to live, work, study, and visit.In addition to all that Tamworth already has to offer, exciting times are ahead as we embark on a period of significant transformation. Multi-million-pound projects, such as the Future High Street Fund development will help to bring about lasting change and improvements in the future. This will assist with our mission to restore Tamworth town centre as the beating heart of the community, a place that people want to visit, rather than a place they have to visit.  Working for Tamworth Borough Council is more than just a job, it’s about making life better for the people who live and work in the Borough. We recognise that everybody who works at Tamworth Borough Council is key to successfully delivering its aims and objectives. We can’t do this without skilled and ambitious workforce working in a positive environment empowered to do their best.Tamworth Borough Council’s Tenancy Sustainment team is seeking to recruit a committed and highly motivated individual as a Tenancy Sustainment Officer.You will be responsible for a wide range of housing management services, including estate management, tenancy sustainment, tenancy change requests, pre voids, flexible fixed tenancy reviews, tenancy breaches, dealing with neighbour disputes, anti-social behaviour, court preparation and attendance. You will also represent the council at a range of multi-agency meetings, sign posting referrals and other tenant participation events. A detailed knowledge of social housing, especially in tenancy management and anti-social behaviour, is required. We are looking for an individual with a can-do approach who will be able to work on their own initiative as well as in a team. The successful candidate will be able to communicate effectively with a variety of audiences and work in a busy environment with conflicting demands. The successful candidate will have a minimum of 12 months previous experience of housing or experience in a related field and strong IT skills.This is a hybrid working contract, there is a requirement for some of duties to be carried out at home and some on site. Site attendance will constitute more than 40% of available working time. We have an extensive benefits package including flexible working, a non-contributory health scheme, Local Government pension scheme, generous holiday entitlement, and payment of professional fees (where applicable), for further details please refer to the application information document on our website. Appointment will be subject to satisfactory references, right to work in the UK check, medical clearance and DBS check.For an informal discussion about the role please contact Lee Birch, Head of Housing Management & Neighbourhood Resilience, on 07891 052148. For further information and to apply please visit Tamworth BC Jobs. Late applications and/or CVs will not be accepted. Agencies need not apply. If you have any queries about the recruitment process, please contact recruitment@tamworth.gov.uk. Closing date: 18th February 2024.Tamworth Borough Council is proud to be an Equal Opportunities Employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We operate two guaranteed interview schemes which support individuals who meet all the essential criteria to be guaranteed an interview for a vacancy. The Disability Committed Employer scheme supports applicants with a disability and the Veterans Guaranteed interview scheme supports those defined as veterans, military spouses/partners and cadet instructors.This authority is committed to safeguarding and promoting the welfare of children, young people and vulnerable adults and expects all staff and volunteers to share this commitment. DBS checks are required for relevant posts. We are committed to ensuring that people are not disadvantaged in accessing our services.  We will make reasonable adjustments for those people that need further assistance, depending on the individual’s needs, further guidance can be found in our Reasonable Adjustments guidance Equality and diversity | Tamworth Borough Council.Public facing roles are covered by the Fluency Duty as outlined in section 78 of the Immigration Act 2016, to serve the public it is vital that those working in public facing roles can communicate in English with members of the public receiving local authority services.  

                                    Proud member of the Disability Confident employer scheme
                                


Disability Confident





            About Disability Confident
        

A Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go to Disability Confident.

 ",https://findajob.dwp.gov.uk/details/13924481
