title,company,location,description,link
Accountant,Perfect Placement UK Ltd,"Plymouth, South West, PL4 6LL","
                    Dealership Accountant - Basic Salary Circa £35,000, Dependent on experience - Prestige Independent Car Dealership - Monday to Friday 08:30 - 17:30 - No Weekend workAn exciting opportunity for a Dealership Accountant within the Plymouth area has arisen for our Motor Trade Client. Working within a independent car dealership, the successful Dealership Accountant will be well versed in providing an exceptional Accounting service. Benefits within this Dealership Accountant role include: - Competitive basic salary from £35,000 dependent on experience. - Monday to Friday working hours. - Opportunity to work with a reputable and established dealership. - Supportive working environment. Duties as an Dealership Accountant will include but are not limited to: - Managing and Overseeing the day-to-day functions of the Vehicle Accounts Department - Producing accurate management accounts to group time-scale - Financial reporting - Ensuring balance sheet reconciliations are completed in line with group proceduresOur Client is seeking an Dealership Accountant who has a proven track record within an Accounts Department and ideally hold both Motor Trade and ideally Pinnacle experience. To apply for this Dealership Accountant position, please forward your CV to Joe Pearce quoting the reference number or call our office for a chat about this position. Perfect Placement are the UK’s Leading Automotive Recruitment Agency so if you are looking for a Dealership Accountant Job get in contact today. Dealership Accountant, Assistant Dealership Accountant, Senior Dealership Accountant, Accounts Assistant or Accounting roles within the Motor Trade. © Perfect Placement UK Ltd – See our website for details                ",https://findajob.dwp.gov.uk/details/13903000
Accountant,LARS,"Grantham, Lincolnshire","
                    Role: AccountantLocation: Grantham, LincsSalary: to be discussed upon applicationHours: Monday to FridayOur client is seeking to recruit an experienced Accountant to join the firm with a view to taking over the running of the branch. This is a superb opportunity for the right candidate.Duties of the Accountant:* Provide expert accountancy, tax, and assurance services to clients.* Assist clients in understanding their business finances, planning for the future, and meeting compliance requirements.* Offer bespoke advice and support tailored to each client's needs* Maintain accurate books and records and help clients minimize tax liabilitiesExperience for the Accountant:* Preferably three years or more of accountancy experience within practice* Proficiency in accounting and tax matters, including UK GAAP, FRSs, Income Tax, Corporation Tax, VAT, and payroll* Ability to review existing systems and processes and suggest improvements* Excellent communication skills in English, both verbal and written* Professional qualification ACA/ACCA with recent/current UK firm experienceUnfortunately we are unable to contact all candidates due to the large volume of applications we receive for the Accountant position. If you have not heard from a consultant within the next three days please assume that you have not been successful on this occasion. Please do not hesitate to apply for other suitable roles in the future.This vacancy for an Accountant is being advertised on behalf of LA Recruitment Solutions. The services advertised by LA Recruitment Solutions are those of a Recruitment Consultancy                ",https://findajob.dwp.gov.uk/details/13859890
Accountant,NuStaff Recruitment Ltd,NP20,"
Nustaff have been instructed by a firm of accountants renowned for being professional, pro active and independent. They are looking for an enthusiastic accountant to join their dynamic team in Newport.What we're looking for
• 1 years post qualification experience• Tax experience (general understanding)• Work to deadlines• Can manage own workload• Understands the accounting standards• Professional ability to deal with clients• Knows all major accounting packages• Understands the industry pressures
Hours
• Monday - Thursday 9am - 5pm• Friday 9am - 2pm
Job TypeFull-time, PermanentSalary£25,000.00-£35,000.00 per yearBenefits
• Company pension• Free parking• On-site parking• Private medical insurance 

                                    Proud member of the Disability Confident employer scheme
                                


Disability Confident





            About Disability Confident
        

A Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go to Disability Confident.

 ",https://findajob.dwp.gov.uk/details/13999444
Accountant,Ben Recruitment Ltd,"Lambeth, South East London","
                    AccountantDescriptionWe are seeking a highly analytical and detail-oriented Accountant to join our team. As an Accountant, you will play a crucial role in managing the financial responsibilities of our organization. You will be responsible for ensuring the accuracy and integrity of our financial records, analyzing financial data to identify trends and anomalies, and preparing financial reports and statements. The ideal candidate will have a strong background in accounting principles, excellent mathematical skills, and a proven ability to work independently and as part of a team. If you are a dedicated and motivated individual who thrives in a fast-paced environment, we would love to meet you.ResponsibilitiesManage and maintain accurate financial records, including general ledger entries and journal entriesCollect and analyze financial data to identify discrepancies and variancesPrepare monthly, quarterly, and annual financial reportsAssist in the development and implementation of financial policies and proceduresEnsure compliance with accounting standards and regulationsConduct regular audits to identify and resolve accounting errors and discrepanciesCollaborate with external auditors and provide necessary documentation and support during auditsPrepare and process financial transactions, including accounts payable and accounts receivableAssist in the preparation of budgets and forecastsMonitor and reconcile bank statements and resolve any discrepanciesStay up to date with changes in accounting principles and regulationsAssist with ad hoc financial projects as neededRequirementsBachelor's degree in Accounting, Finance, or a related fieldCPA certification is a plusMinimum of 3 years of experience in accounting or a similar roleStrong knowledge of accounting principles and regulationsProficiency in accounting software and MS Office, especially ExcelExcellent mathematical and analytical skillsStrong attention to detail and ability to handle large volumes of dataExceptional organizational and time management skillsExcellent communication and interpersonal skillsAbility to work independently and as part of a teamHigh level of integrity and ethics in handling confidential financial informationStrong problem-solving and decision-making abilitiesFlexibility to adapt to changing priorities and deadlinesHours Per Week: 35.00Start Time: 09:00End Time: 17:30Pay Rate: £361.16Location: Lambeth, South East LondonShould you wish to apply for this job opportunity, please send an up to date CV.                ",https://findajob.dwp.gov.uk/details/13849291
Accountant,Service Care Solutions,"London, London, SW2 1RW","
Accountant  Location: London Contract: Temporary (3 months initial)  Rate: £450 - 475 per day (35hr week)  Start Date: ASAP  Sector: Local Government  *Hybrid Working*  Contact: greg.waite@servicecare.org.uk
Job Description Service Care Finance are currently recruiting on behalf of a Local Authority in London for an Accountant to join their team on a temporary basis. The postholder will work on the closure of accounts with experience of Technical Revenue and Capital most desirable. The postholder will complete financial returns and will be responsible for balance sheet management and asset management.
Candidate Criteria 

CCAB/CIMA Qualified Accountant
Experience of closure of accounts, balance sheet management and financial returns essential
Experience in a Local Authority Finance/Accountancy role is essential 
Experience of Technical Revenue and Capital Accounting
Great communication skills and management skills with the ability to work well on own initiative as well as part of a team

If you are interested in the role, or know of anyone who may be, please contact Greg at Service Care Solutions on 01772 208969 or email greg.waite@servicecare.org.uk Service Care Solutions also offers a £250 referral bonus! So, if you know of anyone who would be perfect for this position and they are placed into work, you will receive £250 for the referral once their probationary period has been completed.  

                                    Proud member of the Disability Confident employer scheme
                                


Disability Confident





            About Disability Confident
        

A Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go to Disability Confident.

 ",https://findajob.dwp.gov.uk/details/13852845
Accountant,Durham University,"Durham, County Durham, DH1 3YB","
Part-time Accountant - Teikyo University of Japan in Durham 
Teikyo University of Japan in Durham seeks a pro-active and enthusiastic part-time Accountant from early April 2024. Your normal hours of work will cover 3 - 4 days (28 hours per week - 0.8FTE) and involve accountant tasks specified within the attached Job Description. 
Salary: circa £31,249 - £37,492 per annum (pro rata) dependant on experience. Therefore in the region of £25,000 - £30,000 per annum (£17.17 - £20.60 per hour) - based on 28hrs per week. 
Access to contributory pension scheme. 
 
A level 3 Diploma in Accounting or equivalent qualification is essential. 
How to Apply 
Application letter and CV via email to: Bursar - Mr Andrew DAVIES, Teikyo University of Japan, Mill Hill Lane, Durham, DH1 3YB (Email: andrew.) by 19th March 2024. 
For further information on Teikyo University of Japan in Durham please see website, http://www.teikyouniversitydurham.com/en
  

                                    Proud member of the Disability Confident employer scheme
                                


Disability Confident





            About Disability Confident
        

A Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go to Disability Confident.

 ",https://findajob.dwp.gov.uk/details/13985701
Accountant,Service Care Solutions,"London, London, SW2 1RW","
Accountant - Childrens Services Location: London Contract: Temporary (3 Months initial)  Salary: £400-450 per day  Start Date: ASAP  Sector: Local Government  *Hybrid Working*  Contact: greg.waite@servicecare.org.uk
Job Description Service Care Finance are currently recruiting on behalf of a Local Authority in London for an Accountant to join their Childrens Services team on a temporary basis. The Accountant will support the significant service transformation to ensure that the current overspend is managed and mitigated, whilst supporting delivery of the saving programme. There is also line management for two Assistant Accountants.
Main Responsibilities:

Support the Group Manager in the delivery of sound financial advice on all matters within the directorate.
Support the significant service transformation to ensure that the current overspend is managed and mitigated, whilst supporting delivery of the saving programme.
Lead/support and take ownership for the sound financial planning, management, closure of account, project support & advice, management accounting, reporting, statutory/statistical returns (including returns to government departments and tax returns), and coordination of financial arrangements.
Play an active role in budget monitoring ensuring value is added throughout the process.
Support development of mitigations and being able to present information to senior colleagues.
Financial modelling and appraisal across a number of mini-projects.

Candidate Criteria 

CCAB/CIMA Qualified Accountant with relevant PQE
Experience in Local Authority Finance, specifically within Childrens Services/Childrens Social Care
Experience of providing sound financial advice to senior members on budgets, projects, financial planning and returns
Experience of financial modelling and appraisal with high level analysis skills
Great communication skills and preferably management experience previously with the ability to work well on own initiative

If you are interested in the role, or know of anyone who may be, please contact Greg at Service Care Solutions on 01772 208969 or email greg.waite@servicecare.org.uk
Service Care Solutions also offers a £250 referral bonus! So, if you know of anyone who would be perfect for this position and they are placed into work, you will receive £250 for the referral once their probationary period has been completed. 

                                    Proud member of the Disability Confident employer scheme
                                


Disability Confident





            About Disability Confident
        

A Disability Confident employer will generally offer an interview to any applicant that declares they have a disability and meets the minimum criteria for the job as defined by the employer. It is important to note that in certain recruitment situations such as high-volume, seasonal and high-peak times, the employer may wish to limit the overall numbers of interviews offered to both disabled people and non-disabled people. For more details please go to Disability Confident.

 ",https://findajob.dwp.gov.uk/details/13993811
Accountant,Talent Finder,HU12 8JA,"
AAT Qualified Accountant | Hedon, East Yorkshire | Full Time | £26,000 - £35,000Are you a dynamic and qualified Accountant with a hunger for professional growth?Look no further!Our client is a forward-thinking and expanding accountancy practice nestled in the vibrant community of Hedon, and they’re on the lookout for a full-time AAT Qualified (or equivalent) Accountant to join their friendly professional team permanently.As the Accountant, reporting directly to the Directors, you'll play a vital role in supporting small and medium-sized business clients with key tax, bookkeeping, and financial accounts reporting work.This is more than just a job; it's an opportunity to progress your career within an established firm, known for nurturing and developing its staff. In addition to exposure and training, you will receive a highly competitive salary, excellent benefits, and study support for your professional qualifications.Are you the right person for the job?
• You are an AAT qualified professional with a minimum of three years of experience in a practice environment• Practical experience in bookkeeping and accounts work• Confidence in handling software such as IRIS, Sage, Xero, and QuickBooks• You will be a dynamic individual with excellent communication skills, diligence in reporting, and a positive and enthusiastic approach to your work and career development
What will your role look like?
• Supporting a portfolio of clients with a range of services• Completing bookkeeping and VAT services for businesses• Preparing accounts for sole traders, partnerships, and limited companies• Preparing corporation tax returns and computations• Building positive client relationships and addressing queries promptly• Ensuring compliance with financial regulations and internal procedures• Undertaking ad hoc projects and providing support as needed
What can you expect in return?
• Competitive salary package• Up to 31 days holiday (including bank holidays)• Study support and more
Closing date 29th February 2024What’s next? It’s easy! Click “APPLY” now! Your data will be handled in line with GDPR. ",https://findajob.dwp.gov.uk/details/13927062
Accountant,Golden Charter Limited,"Bearsden, East Dunbartonshire","
                    We are looking for an Accountant to join our Finance team on a full-time, permanent basis. As the Accountant, you’ll assist in delivering all aspects of accounting for the Group’s sub-ledgers, as well as assisting where required in the monthly management accounts, the statutory accounts, and other regulatory reporting requirements. You will have daily management of a team of Senior Accounts and Accounts Assistants and will provide guidance and coaching to them as required.As the Accountant, you will have daily maintenance of the sales and purchase sub-ledgers which will include supervising the raising of invoices and processing direct debit runs. You will monitor workflow to ensure tasks are adequately resourced and carried out on time and to the expected standard as well as maintaining effective credit control procedures.What’s in it for you?At Golden Charter, we understand the importance of work life balance. We operate a hybrid model of working and offer a range of flexible working patterns.Along with flexible working, we also offer a great benefits package, which includes:6% employer pension contributionFlexible benefits allowance to add to your salary or buy additional benefitsAnnual bonus schemeLife Assurance (4 x annual salary)Generous annual leave entitlementHoliday buy/sell schemeHealth Cash PlanEmployee Assistance ProgrammeAccess to a retail discount websiteGym membership discountsAnnual flu vaccineAccess to mental health first aidGreat learning and development opportunitiesOnsite masseuseOnsite yoga classesEssential Criteria:Newly qualified or part qualified (Ideally with experience of working within an Accounts Payable and / or Accounts Receivable environment)Experience of working through the external auditor process, including liaison with auditorsAdvanced knowledge of the Microsoft packagesPrevious team management experienceDesirable Criteria:Experience in preparing (with self-review) monthly management accountsExperience in preparing statutory financial statements and transactional experience, with a solid understanding of accounting principlesWorking knowledge of VAT and ability to learn and apply the rules relating to the business / sectorSector knowledgeIf this sounds like a role you’d be interested in, we’d love to hear from you!                ",https://findajob.dwp.gov.uk/details/13913228
ACCOUNTANT,City Centre Recruitment,DT1 1DE,"
ACCOUNTANTDorchesterPERMANENT POSITION09.00am to 17.30pm (Mon to Fri)Salary up to £40k DOEImmediate Start available and notice periods consideredTO APPLY CALL 01305 239239 Mon to Friday 8am to 5pmOR EMAIL CV TO Weymouth@citycentrerecruitment.co.uk ONLINE APPLICATION Our client is seeking an ACCOUNTANT to join their team located in Dorchester. You must be a trustworthy candidate who work efficiently without sacrificing accuracy. Can expect to work with large amounts of numerical data, handle multiple tasks with deadlines, and provide transparent and complete reports to management. You should have a firm grasp of accounting and financial practices and regulations and possess strong computer and verbal and written communication skills.Key Responsibilities:
• Manage a diverse portfolio of clients• Prepare and review accounts• Handle tax and VAT returns• Mentor and support staff• Assist Partners with ad hoc tasks, contributing to the firm's overall success• Offer valuable advice to clients, showcasing expertise and commitment
Within your CV, you must show evidence of the following skills:
• ACA/ACCA qualified• Minimum 3 years of practice experience• Proficiency in accounts and tax practices• Strong analytical, communication, and computer skills.• Ethical behavior.• Attention to detail.• Dedicated
Candidates must hold:
• Passport or Full Birth Certificate with proof of National Insurance
In line with the requirements of the Asylum and Immigration Act 1996, all applicants must be eligible to live and work in the UK. As part of the recruitment process, you will be asked to provide documented evidence of eligibility.City Centre Recruitment is an equal opportunities employer.City Centre Recruitment is acting as an employment business in relation to ACCOUNTANT#Citycentrerecruitment #Weymouthbranch #permjob #recruitmentagency #seekingwork #weymouth #ACA #ACCA #Accountancypractice #accounts #Dorset #immediatestartINDWM ",https://findajob.dwp.gov.uk/details/13868207
