title,company,location,description,link
Sustainability Lead,Purosearch,"Bristol, South West, cf10","
                    Purobuild have partnered with an award winning consultancy, and are assisting them in seeking their next Sustainability Manager Location: South West Salary: £50,000 - £70,000 ( dependant on experience) The successful Sustainability Manager must have: - Preferable: BSc or MSc in a related field - 5 + years experience working for a consulting practice - Experienced in sustainability appraisals, particularly BREEAM. - Individual has worked on multiple BREEAM assessments with multiple years of BREEAM assessor experience. - Experience of Embodied Carbon / Whole Life Assessments - Experience of working in a consulting practice. - Ability to represent the company in client meetings - Assist junior team membersBenefits for the Sustainability Manager: - Private Medical Care - Flexi working  - Performance related bonusPurobuild is a specialist construction recruitment company who specialises in placing Sustainability Consultants Recruitment into leading organisations within the UK. If you are a Sustainability Consultant, Sustainability Engineer, Sustainability Advisor, Sustainability Manager, BREEAM Consultant looking for a permanent position please contact us                ",https://findajob.dwp.gov.uk/details/13886145
Sustainability Consultant,Purosearch,"London, London, ec1","
                    We are looking for a Sustainability Consultant based in London to join a reputable Building Services Engineering Consultancy.Location: LondonSalary: £40,000 - £45,000Sustainability Consultant Requirements: - 2 + years consultancy experience  - Msc in related field - BREEAM (required): Utilise experience with BREEAM to support projects seeking BREEAM certification, helping to achieve sustainability targets and maximise performance.  - The applicant will need to have experience of collecting and reviewing BREEAM evidence throughout the work stages - Knowledge of Whole Life Carbon Assessments and Circular Economy Assessments Sustainability Consultant Benefits: - Exposure working on iconic projects in London - Further industry training and support gaining qualifications - Private Health Care - Flexiworking - 25 days of holiday and an extra day off on your birthdayPurobuild is a specialist construction recruitment company who specialises in placing Sustainability Consultants Recruitment into leading organisations within the UK. If you are a Sustainability Consultant, Sustainability Engineer, Sustainability Advisor, Sustainability Manager, BREEAM Consultant looking for a permanent position please contact us                ",https://findajob.dwp.gov.uk/details/13913380
Sustainability Manager,Mitie,SE1 9SG,"
                    Job description Company Name:MitieJob Title:Sustainability ManagerReporting To (Position):Head of Sustainability    Job Objectives and Responsibilities · The Sustainability manager role is a key role to support the delivery of the enhanced Sustainability and EMS requirements under the current DWP/Central Government Contract Model.· The Sustainability manager will support the Head of Sustainability and assist in the development of a strategic and cost effective approach to Energy Management and Sustainability/Net Zero Plans.· They will engage with the Client Team (and/or Integrator) to establish whether all the necessary client supplied information is available and up-to-date, and support in compiling any requests for information and identifying and managing associated risks.· They will support the Head of Sustainability in engaging with the client/Integrator to agree the format and content of each of the plans required under the Sustainability and Environmental Management contract requirements and that these plans are delivered in line with the contract programme  Main Duties-Desk top analysis of Energy/Sustainability data to identify key improvement and focus focus.-Undertake customer site surveys as necessary, including site walk-arounds as well as more detailed reviews of how the building and its plant operates and report on findings from surveys to key stakeholders-Identify new carbon conservation measures and keep internal trackers up to date-Attend client meetings to provide updates on contract performance-Actively work to resolve any technical and organisational issues as presented by the Customer-Participate in monthly review meetings to discuss and track team performance and continuous improvement in our delivery;-Managing and co-ordinating the account Sustainability Champions network;· Assist in ensuring that the organisation and the client are compliant with ISO 14000 family of standards. Key Competencies:You will have demonstrable experience in the following;-Experience of site energy auditing-Strong data analysis skills-Understanding of and experience working with energy/carbon data sets-Strong report writing and presentation skills· Problem Solving and Analysis - Analyses issues and breaks them down into their component parts. Makes systematic and rational judgements based on relevant information.· Action Orientation - Demonstrates a readiness to make decisions, take the initiative and originate action.  Person SpecificationQualifications:· Chartered Membership of appropriate professional body or working towards (IEMA or Energy Institute preferred)· Auditor experience and associated qualification (Desirable)· IT literate in MS Office and systems management software· Degree level (or higher) qualification in a related subject Skills and Personal Qualities:· Strong team player willing to get involved with a wide variety of tasks and activities· Good communication skills, both written and verbal and ability to present confidently· Analytical approach to using data to enhance Energy/Sustainability performance.· Ability to undertake engagement programmes and present this to a variety of audiences· Current SC or higher security clearance to allow immediate access to necessary sensitive data and sites during mobilisation   NoteThis job description Is intended to give the post holder an appreciation of the role envisaged for this position and the range of duties undertaken. Specific tasks and objectives will be agreed with the post holder throughout the period of employment. The job description may be varied from time to time by the Company to reflect changes in the post holder's role and/or the needs of the business.  ",https://findajob.dwp.gov.uk/details/13859934
Sustainability Consultant,Hays Specialist Recruitment,"London, London, SW1W 0NT","
Your new company The client is looking for a sustainability expert to join our expanding team in London. The ideal candidate should have prior experience in sustainability consulting. The role involves working in our London office and collaborating with teams across all our UK offices to some extent. The job responsibilities include liaising with clients and providing technical input. Your new role As a Sustainability Consultant, you will work closely with technical disciplines within the organisation and clients to help them measure and improve their sustainability performance. Your tasks may vary depending on projects and scope, but you'll typically need to:

Conduct research and use environmental impact assessments to measure issues such as carbon footprint and energy performance.
Collect and analyse data, and produce reports to demonstrate your findings.
Present your findings to clients.
Provide advice on how clients can meet regulations laid out in environmental law.
Recommend technologies and explain the most cost-effective and beneficial routes to sustainability. This could involve switching to alternative energy sources to lower energy costs, smarter water usage, reducing waste, and lowering carbon emissions.
Support and assist the Head of Sustainability with the wider Sustainability Strategy.
Assist with the communications (both internal and external) of our progress and achievements in sustainability.
Implement project requirements to fully meet the client specification in accordance with relevant standards.
Managing projects which involve identifying potential clients, preparing marketing materials, bid documents, and managing resources and budgets to deadline.

What you\'ll need to succeed

2-3 years\' experience working in a UK consultancy for private and public-sector developers and operators, on a range of development / infrastructure projects.
Experience of working within different sectors such as Commercial, Industrial, Retail and Residential
Experience of carbon life cycle assessment, developing net-zero carbon strategies and supporting organisational carbon footprinting.
Specialising in environmental design, energy efficiency and low carbon solutions within the built environment with experience from concept and planning stages through to completion.
Experience with LCA, WLCA and Circular Economy Assessments.
Experience of implementing circular economy principles across the project and delivery of associated reports such as SWMP, OWMP.

What you need to do nowIf you\'re interested in this role, click \'apply now\' to forward an up-to-date copy of your CV, or call us now.If this job isn\'t quite right for you, but you are looking for a new position, please contact us for a confidential discussion on your career.
Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found at hays.co.uk ",https://findajob.dwp.gov.uk/details/13838815
Sustainability Manager,Career Kinetics Limited,"HP10 0DF, HP10 0DF","
The VacancyHave you achieved substantial improvements in reducing adverse environmental impact?Are you passionate about environmental sustainability?Paradigm Housing Group are committed to doing their job as a landlord to make sure their properties are safe and kept in good repair for customers. Our Corporate Plan sets ambitious targets for us to reduce the environmental impact of our business and to start a major investment programme to reduce and eventually eliminate the CO2 emissions impact of the 16,000 homes which we own or manage across Beds, Herts and Bucks.We are seeking an experienced Sustainability Manager to develop and deliver our Environmental Sustainability Strategy.We have already made significant strides in developing our plans to reduce greenhouse gas emissions, eliminate waste to landfill and to enhance biodiversity across our estate. We need somebody who is able to develop and implement practical, effective systems across the business to deliver our objectives to reduce environmental harm and enhance our environmental performance.To do this, the ideal candidate will be able to show us their experience of organising and mobilising business commitment to greater sustainability, and delivery of measurable impacts.You will be able to work at a strategic and a project level. We need somebody who can understand and communicate what we need to do over the medium term, to engage with Directors, managers and staff across the business to embed this understanding, and take practical steps to improve performance.This will include keeping the organisation up to date on the sustainability agenda and new legislation, understanding and securing opportunities to work with our stakeholders and partners, applying for funding, and developing engagement projects to work with our customers to help them to play their part.To be successful in this role you must have knowledge and experience of delivering a strategic workplan across multiple strands, and of reporting or compliance with one or more of the regulatory regimes for carbon emissions reporting, waste management and biodiversity.This role also requires the following skills:Post-secondary/High school education with degree (or equivalent qualification)Experience of carrying out a similar specialist role in a corporate sustainability functionStrong communication skills (verbal and written)The ability to motivate a wide variety of people to change their behaviour and to communicate and build understanding about the importance of environmental change and how each person can contribute.Experience of designing and setting up systems and processes for managing strategic programmesAbility to research complex topics and communicate findings in an easy to understand format, including presentationsDoes this sound like you? This is a great opportunity to join us at a time when you can have a real and personal impact on the future success of our business. ",https://findajob.dwp.gov.uk/details/13878635
Head of Sustainability,Veolia,"London, London, N1 9JY","
Salary: Competitive salary plus Veolia benefits including a company bonus, car/allowance, enhanced pension and private medicalLocation: London/Hybrid- with travel to our UK sites as required.When you see the world as we do, you see the chance to help the world take better care of its resources, and help it become a better place for everyone. It's why we're looking for someone who's just as committed as we are, to push for genuine change and bring our ambition of Ecological Transformation to life. We know that everyone here at Veolia can help us work alongside our communities, look after the environment, and contribute to our inclusive culture.What we can offer you:- 25 days of annual leave- Facilities including a free onsite gym, parking and subsidised restaurant at our Cannock office- Access to our company pension scheme- Discounts on everything from groceries to well known retailers- Access to a range of resources to support your physical, mental and financial health; so you can lean on us whenever you need to- One paid days leave every year to volunteer and support your community- Ongoing training and development opportunities, allowing you to reach your full potentialWhat you'll be doing:In this role you will continue to develop the UK and Ireland sustainability strategy and reporting to help achieve Veolia's purpose of Ecological Transformation - including developing and coordinating the delivery of key initiatives such as social value, biodiversity, and net-zero. The role is responsible for coordinating activity, reporting and day-to-day communication of sustainability-related issues. You will work across key areas of the business to ensure that the reporting sustainability data adheres to the relevant frameworks and work in collaboration with external partners, government entities, and regulatory bodies as necessary.Having knowledge of related legislative frameworks, you will advise and support policy positioning and lobbying strategies, working closely with customer-facing teams to ensure the accuracy of briefing materials and presentations, contributing to the achievement of Veolia's purpose of Ecological Transformation.What we're looking for:

You will be qualified to degree level in a related field, with previous experience in environmental related business and a proven ability to work cross-functionally.
Possessing strong knowledge of sustainability related legislation with strong knowledge of global sustainability frameworks such as UN SDG, SBTI,TCFD, TFND, GRI, SECR, SASB, CDP.
Experience of providing reporting and briefing on sustainability matters to internal and external stakeholders.
Previous experience in waste, water or energy sectors would also be highly desirable, as would a proven track in developing and implementing sustainability strategies and initiatives.
Excellent project management skills, with the ability to lead and drive change across an organisation, with strong analytical and problem solving - abilities, with a focus on data driven decision making.

If you feel that you'd be a great fit for this role and Veolia then we'd like to find out more about you.What's next?Apply today, so we can make a difference for generations to come.We're proud to be listed in The Sunday Times Best Places to Work 2023, being named as a Top 10 Very Big Organisation and Highly Commended as a workplace for 55+.This accolade further demonstrates our commitment to our people and our actions in creating an environment where everyone can be their true selves and enjoy working at Veolia.We want to ensure that you feel supported throughout the application process and provide reasonable adjustments where necessary and requested. If you require any reasonable adjustments as part of your application and interview process please do not hesitate to let us know.Here at Veolia, we're proud to be known as an equal opportunities employer. We know how important it is to be fully committed to building and maintaining a diverse and inclusive place to work for every one of our colleagues. So no matter their age, gender, gender expression, disability, race, ethnicity, religion, belief, sexuality or veteran status, every applicant who meets the minimum requirements will be considered fully.
Here at Veolia, we're proud to be known as an equal opportunities employer. We know how important it is to be fully committed to building and maintaining a diverse and inclusive place to work for every one of our colleagues. So no matter their age, gender, gender expression, disability, race, ethnicity, religion, belief, sexuality or veteran status, every applicant who meets the minimum requirements will be considered fully. ",https://findajob.dwp.gov.uk/details/13872854
Sustainability Manager,NHS Jobs,"Maidstone, ME16 9QQ","
                    Once your pre-employment checks have been completed you will be contacted by Recruitment to arrange your start date which will be in line with one of our Corporate Inductions. Please note that appointment to this post will be subject to a satisfactory Disclosure & Barring Service Check at Standard Level. (Enhanced level now includes regulated checks against vulnerable adults and children) At MTW, we seek to develop a culture where everyone can reach their full potential with opportunities to grow and develop their career. We recognise and value the unique contributions that each of our staff bring, delivering the best quality care and service to our patients. We are committed to being a diverse employer and strive to reflect everyone in our local communities. We welcome applications from people of diverse backgrounds, perspectives and experiences and celebrate the diversity of thought, viewpoints and ideas that will make our Trust the best place to work. Interview Date: 12th February 2024                ",https://findajob.dwp.gov.uk/details/13828663
Head of Sustainability,NHS Jobs,"Ashford, TN25 4AZ","
                    The job description and person specification gives you all the information you need about this role. Please look carefully at the criteria in the person specification and tell us what you have done that shows you meet this. Still have questions? The recruiting manager would love to hear from you, their contact details can be found in the job advert. We can get a lot of applications for some roles so to be in with the best chance of being shortlisted please make sure you apply as soon as possible. A vacancy may close early if there is a lot of interest in the job. If you need an application form in an alternative format please let our recruitment team know so they can help you with this. All information you supply on your application should, to the best of your knowledge, be true and accurate. Interviews are due to take place on the 8th of March 2024. Find out more about the community differencehere. Good luck! We cant wait to meet you and welcome you to #teamKCHFT, #cometocommunity Although vaccination against COVID-19 is not mandatory, we are strongly encouraging colleagues in clinical and non-clinical roles who have direct or social contact with patients to be fully vaccinated. In this way we will be doing all we can to ensure your safety and that of your colleagues and the patients we serve.                ",https://findajob.dwp.gov.uk/details/13917449
Digital Sustainability Data Specialist,Government Recruitment Service,Warrington,"
                    Defra is the UK government department responsible for safeguarding our natural environment, supporting our world-leading food and farming industry, and sustaining a thriving rural economy. Our broad remit means we play a major role in people's day-to-day life, from the food we eat, and the air we breathe, to the water we drink.Digital, Data and Technology Services (DDTS) is the trusted team for digital across the entire Defra Group.We have around 1,200 colleagues across DDTS and our ambition is to make it easier and faster than ever for people to interact with Defra. If you are ready to drive innovation and push boundaries, we want to hear from you. Join us and together we will create a great place for living, and a green and healthy future for all.Find out more about DDTS:Defra digital, data and technology blogLinkedIn Defra Jobs 
Digital sustainability (or sustainable ICT) is an area of rapidly growing interest. ICT and digital services are increasingly held up as a key component of any solution to the global climate crisis and associated targets and goals. These include the UK government’s commitment to net zero carbon by 2050, the Greening Government Commitments 2020-2025, the UN Sustainable Development Goals and the 25 Year Environment Plan.Defra (through our Chief Digital and Information Officer) are the Senior Responsible Owner and Policy owner for digital sustainability across government.  The DDTS Digital Sustainability Team are responsible for developing and implementing digital sustainability strategy and policies, for reporting data on sustainable ICT progress, for leading cross government work on digital sustainability, for harnessing insight and innovation from suppliers and industry stakeholders, and for supporting Defra’s Chief Digital Information Officer (CDIO). We’re subject matter experts on digital sustainability, and it’s our role to be champions in this space.As a Digital Sustainability Data Specialist, you’ll lead on the collation, analysis and publication of digital sustainability data from both within Defra, and more widely across Government. You’ll also support the Digital Sustainability team's reporting outputs, build relationships with suppliers and stakeholders, and get involved with DDTS sustainable procurement.This role is a fantastic opportunity for someone who wants to combine an existing digital, data and technology skillset with a passion for the environment, climate and sustainability. In our team, your work will have a direct and tangible impact to Defra’s policy outcomes and the wider global digital sustainability agenda.If you're interested in working for our Digital Sustainability team, we intend to be advertising another similar vacancy soon. It will be at SEO level, but with more focus on projects, procurements, strategy and policy. So do keep an eye out!                ",https://findajob.dwp.gov.uk/details/13877086
Digital Sustainability Data Specialist,Government Recruitment Service,York,"
                    Defra is the UK government department responsible for safeguarding our natural environment, supporting our world-leading food and farming industry, and sustaining a thriving rural economy. Our broad remit means we play a major role in people's day-to-day life, from the food we eat, and the air we breathe, to the water we drink.Digital, Data and Technology Services (DDTS) is the trusted team for digital across the entire Defra Group.We have around 1,200 colleagues across DDTS and our ambition is to make it easier and faster than ever for people to interact with Defra. If you are ready to drive innovation and push boundaries, we want to hear from you. Join us and together we will create a great place for living, and a green and healthy future for all.Find out more about DDTS:Defra digital, data and technology blogLinkedIn Defra Jobs 
Digital sustainability (or sustainable ICT) is an area of rapidly growing interest. ICT and digital services are increasingly held up as a key component of any solution to the global climate crisis and associated targets and goals. These include the UK government’s commitment to net zero carbon by 2050, the Greening Government Commitments 2020-2025, the UN Sustainable Development Goals and the 25 Year Environment Plan.Defra (through our Chief Digital and Information Officer) are the Senior Responsible Owner and Policy owner for digital sustainability across government.  The DDTS Digital Sustainability Team are responsible for developing and implementing digital sustainability strategy and policies, for reporting data on sustainable ICT progress, for leading cross government work on digital sustainability, for harnessing insight and innovation from suppliers and industry stakeholders, and for supporting Defra’s Chief Digital Information Officer (CDIO). We’re subject matter experts on digital sustainability, and it’s our role to be champions in this space.As a Digital Sustainability Data Specialist, you’ll lead on the collation, analysis and publication of digital sustainability data from both within Defra, and more widely across Government. You’ll also support the Digital Sustainability team's reporting outputs, build relationships with suppliers and stakeholders, and get involved with DDTS sustainable procurement.This role is a fantastic opportunity for someone who wants to combine an existing digital, data and technology skillset with a passion for the environment, climate and sustainability. In our team, your work will have a direct and tangible impact to Defra’s policy outcomes and the wider global digital sustainability agenda.If you're interested in working for our Digital Sustainability team, we intend to be advertising another similar vacancy soon. It will be at SEO level, but with more focus on projects, procurements, strategy and policy. So do keep an eye out!                ",https://findajob.dwp.gov.uk/details/13877120
