title,company,location,description,link
Teacher,Apple Orchard,"Horsham, West Sussex, RH13 0RQ","
Teacher 
Contract type: Full-Time, Term Time Only
Salary: £26,000 (UQT) to £32,000 (QTS/QTLS), depending on experience
Contract term: Permanent
Location: Horsham, West Sussex
Hours: Monday, Wednesday, Thursday & Friday 8.45 am - 4.30 pm, Tuesday 8.45am - 5pm
About our School 
Apple Orchard is an expanding therapeutic community with a school attached. All young people in our care have significant SEMH concerns and as such we are looking for a teacher with a passion to work with those who are most vulnerable and one who can build trusting, solid relationships. 
Our school, Apple Orchard, is a very important part of Apple Orchard and complements the work done by the care and therapy staff. The Head Teacher leads the experienced team of teachers and teaching assistants. Between them, they can offer a wide range of subjects which covers all of a modified National Curriculum. 
We are seeking to appoint a highly motivated and committed professional to join in the continued development and success of the school. The successful candidate will have: 

the ability to motivate and encourage young people
high expectations and a clear vision of educational excellence
outstanding classroom ability and behaviour management practice
the ability to create and deliver a stimulating programme of study across DT and Vocational Skills
flexibility and willingness to work as part of our hardworking, supportive small team
ability to teach across other subjects
QTS / QTLS or a willingness to complete a teaching qualification

The successful candidate will be required to complete an enhanced DBS Check, the cost of which will be met by Apple Orchard School. 
Apple Orchard School is an equal opportunities employer and positively encourages applications from suitably qualified and eligible candidates. 
Apple Orchard School is committed to safeguarding and promoting the welfare of children, young people, and vulnerable adults and expects all staff to share this commitment

 
 INDRESHP                ",https://findajob.dwp.gov.uk/details/13797244
Teacher,senploy,"Croydon, London","
                    Primary Teacher - JASAP StartA lovely SEN school in Croydon is looking for a teacher to start ASAPAre you a dynamic Primary teacher looking for a new challenge? Do you want to work for an outstanding Primary school teaching young students with AutismSugarman Education is currently looking for teachers who are passionate to teach and make a difference in the lives of young students. The role is a full-time role, 5 days a week, Monday to Friday.The Ideal candidate would need to have:· Previous experience working within a SEN setting. (Any Special Needs Setting where you have worked with children or adults with Autism/ Behavioural Difficulties/ Profound Multiple Learning Difficulties)- QTS· Able to build rapport quickly with students and staff members.· Available full-time, Monday to Friday, 08:30 start and 4pm finish.· Flexible to work across all age groups in the school.· Have a DBS on the update service or willing to do a new DBS through Sugarman· Have the 'right to work' in the UKThe school:The school has a warm and friendly atmosphere to it and new staff will quickly feel part of the school family. The children also flourish in the supportive environment and are well behaved with a positive attitude towards their learning. The school sets high expectations, and it is vitally important that the ideal candidate for the role has a real passion to work with children and make a difference in their learning process.Sugarman Education:· A personal and dedicated consultant· £180- £250 per day· Excellent referral Scheme· Guaranteed pay schemeIf this sounds like you this could be the perfect Teaching role to develop your skills and experience, please get in touch with us today!Sugarman Education is a national education recruitment agency, specialising in finding qualified teaching and non-teaching staff, in Primary, Secondary and SEN schools. We pride ourselves on the relationships we have with our schools. Our consultants are experts in their field and are passionate about providing the highest quality staff to the education sector.*Terms and conditions apply.Sugarman Education is an equal opportunities employer and welcomes applications regardless of sex, age, race, sexual orientation, gender reassignment, marriage and civil partnership, religion and belief, pregnancy and maternity or disability.#SUGSL                ",https://findajob.dwp.gov.uk/details/13913079
Teacher,senploy,"Salford, Greater Manchester","
                    Are you a teacher who is looking for the opportunity to further develop your career in an environment in which you are valued, rewarded, and supported?What we ask is that you align with our values, show compassion towards our students and be a dependable resource within our school. The unique nature of our school means that you will need to be creative in developing into the role, using your experience and initiative to deliver bespoke learning journeys for the children and young people. It's an exciting opportunity where your input will have huge impact. Requirements:  - QTS or QTLS Qualifications QTS or QTLS Qualifications  - Proven teaching and learning experience preferred (can be at TA level) Proven teaching and learning experience preferred (can be at TA level)  - Energy and enthusiasm to raise standards. Energy and enthusiasm to raise standards.  - Initiative, vision, creativity, and confidence to execute bespoke plans. Initiative, vision, creativity, and confidence to execute bespoke plans.  - Experience of working with students with SEN preferred but absolutely not essential as we encourage mainstream teachers to apply. Experience of working with students with SEN preferred but absolutely not essential as we encourage mainstream teachers to apply.  - Full reference check and enhanced DBS on the Update Service to be completed. Full reference check and enhanced DBS on the Update Service to be completed. Apply now to find out more. We are unable to offer sponsorship for this role.  ",https://findajob.dwp.gov.uk/details/13855054
Teacher,senploy,"Deal, Kent","
                    Are you a teacher who is looking for the opportunity to further develop your career in an environment in which you are valued, rewarded, and supported?What we ask is that you align with our values, show compassion towards our students and be a dependable resource within our school. The unique nature of our school means that you will need to be creative in developing into the role, using your experience and initiative to deliver bespoke learning journeys for the children and young people. It's an exciting opportunity where your input will have huge impact. Requirements:  - QTS or QTLS Qualifications QTS or QTLS Qualifications  - Proven teaching and learning experience preferred (can be at TA level) Proven teaching and learning experience preferred (can be at TA level)  - Energy and enthusiasm to raise standards. Energy and enthusiasm to raise standards.  - Initiative, vision, creativity, and confidence to execute bespoke plans. Initiative, vision, creativity, and confidence to execute bespoke plans.  - Experience of working with students with SEN preferred but absolutely not essential as we encourage mainstream teachers to apply. Experience of working with students with SEN preferred but absolutely not essential as we encourage mainstream teachers to apply.  - Full reference check and enhanced DBS on the Update Service to be completed. Full reference check and enhanced DBS on the Update Service to be completed. Apply now to find out more. We are unable to offer sponsorship for this role.  ",https://findajob.dwp.gov.uk/details/13855064
Teacher,senploy,"Enfield, London","
                    Are you a teacher who is looking for the opportunity to further develop your career in an environment in which you are valued, rewarded, and supported?What we ask is that you align with our values, show compassion towards our students and be a dependable resource within our school. The unique nature of our school means that you will need to be creative in developing into the role, using your experience and initiative to deliver bespoke learning journeys for the children and young people. It's an exciting opportunity where your input will have huge impact. Requirements:  - QTS or QTLS Qualifications QTS or QTLS Qualifications  - Proven teaching and learning experience preferred (can be at TA level) Proven teaching and learning experience preferred (can be at TA level)  - Energy and enthusiasm to raise standards. Energy and enthusiasm to raise standards.  - Initiative, vision, creativity, and confidence to execute bespoke plans. Initiative, vision, creativity, and confidence to execute bespoke plans.  - Experience of working with students with SEN preferred but absolutely not essential as we encourage mainstream teachers to apply. Experience of working with students with SEN preferred but absolutely not essential as we encourage mainstream teachers to apply.  - Full reference check and enhanced DBS on the Update Service to be completed. Full reference check and enhanced DBS on the Update Service to be completed. Apply now to find out more. We are unable to offer sponsorship for this role.  ",https://findajob.dwp.gov.uk/details/13855070
Teacher,senploy,"Croydon, London","
                    Are you a teacher who is looking for the opportunity to further develop your career in an environment in which you are valued, rewarded, and supported?What we ask is that you align with our values, show compassion towards our students and be a dependable resource within our school. The unique nature of our school means that you will need to be creative in developing into the role, using your experience and initiative to deliver bespoke learning journeys for the children and young people. It's an exciting opportunity where your input will have huge impact. Requirements:  - QTS or QTLS Qualifications QTS or QTLS Qualifications  - Proven teaching and learning experience preferred (can be at TA level) Proven teaching and learning experience preferred (can be at TA level)  - Energy and enthusiasm to raise standards. Energy and enthusiasm to raise standards.  - Initiative, vision, creativity, and confidence to execute bespoke plans. Initiative, vision, creativity, and confidence to execute bespoke plans.  - Experience of working with students with SEN preferred but absolutely not essential as we encourage mainstream teachers to apply. Experience of working with students with SEN preferred but absolutely not essential as we encourage mainstream teachers to apply.  - Full reference check and enhanced DBS on the Update Service to be completed. Full reference check and enhanced DBS on the Update Service to be completed. Apply now to find out more. We are unable to offer sponsorship for this role.  ",https://findajob.dwp.gov.uk/details/13855076
Teacher,senploy,UK,"
                    Role: TeacherSalary: £110-140Area: SheffieldAre you a newly qualified teacher or highly passionate and enthusiastic about teaching?Do you have a keen interest in making a positive impact in a Primary School classroom?If the answer is yes, then why not give us a call about our exciting opportunities in Sheffield!The Sheffield Primary team at Teaching Personnel are looking to recruit Teachers to support the great schools that we work with in the Sheffield area.We are seeking a skilled, qualified teachers to join our team of teaching staff. As a teacher, you will play a crucial role in shaping the educational journey of our young learners. Your passion for teaching and dedication to student development will be key in creating a positive and engaging learning experience.This role will include; - A qualified teacher (holds QTS) with a relevant degree or equivalent. - Experience in planning and implementing creative, engaging and differentiated lessons is essential. - Familiarity with the national curriculum and the ability to develop appropriate schemes of work and assessments to monitor students' progress effectively. - Utilise a range of teaching methods and resources to facilitate active learning and encourage independent thinking. - Committed to the safeguarding and welfare of all students, adhering to the schools' policies and procedures. - Excellent communication and interpersonal skills, with the ability to build positive relationships with students, parents, and colleagues. - A genuine passion for education and a desire to make a positive impact on the lives of young learners within our vibrant school community.What Teaching Personnel can offer you - Over 20 years experience as the market leaders in Education Recruitment - Your own online portal with access to an online diary and bespoke CPD academy - Consistent support from dedicated education specialist consultant - Competitive rates of pay paid weekly via PAYEWhy wait? Your exciting new opportunity awaits!All applicants will require the appropriate qualifications and training for this role. Please see the FAQ's on the Teaching Personnel website for details.All pay rates quoted will be inclusive of 12.07% statutory holiday pay. This advert is for a temporary position. In some cases, the option to make this role permanent may become available at a later date.Teaching Personnel is committed to safeguarding and promoting the welfare of children. We undertake safeguarding checks on all workers in accordance with DfE statutory guidance 'Keeping Children Safe in Education' this may also include an online search as part of our due diligence on shortlisted applicants.We offer all our registered candidates FREE child protection and prevent duty training. All candidates must undertake or have undertaken a valid enhanced Disclosure and Barring Service (DBS) check. Full assistance provided.For details of our privacy policy, please visit the Teaching Personnel website.                ",https://findajob.dwp.gov.uk/details/13799938
TEACHER,senploy,"Lancaster, Lancashire","
                    Veritas Education are recruiting teachers across the Lancaster/Morecambe area to provide ad hoc, short term and long term cover for the local primary schools.Are you looking for a flexible approach to teaching?Are you an experienced teacher who would like to pick up work as and when it suits you?Maybe you have recently qualified (ECT) and looking for more classroom experience and more of a focus on gaining a permanent teaching position?Are you in a part time post and looking for additional hours on the days you are free?Join Veritas Education and you will be supported by Sarah Maclachlan, an education specialist recruiter with over 11 years experience working with the local primary schools!The role of a Supply Teacher: - Provide cover for permanent teachers - To plan and deliver lessons - Mark work and record pupil progress - Liaise with colleagues and parentsBenefits of a Supply Teacher: - Variety - Explore different schools and settings around the local area Build networks and relationships with other teachers and senior leadership teams, becoming familiar with the schools in the area. - The biggest benefit to supply teaching is flexibility! You are free to choose what days and hours you would like to work. - Open doors for new opportunities if looking for a permanent position. Working as a supply teacher, you will be able to display what you can offer schools.WHAT VERITAS EDUCATION OFFERS: - Excellent rate of pay to support cost of living, including holiday pay (PAYE) Personalised recruitment support from a friendly and dedicated Education Consultant, with 11 years experience working with the local primary schools. - Support and advice with CV writing and applications - Access to training courses, support CPD - Refer a friend scheme - £250 per candidate referred - Loyalty scheme - guaranteed pay each week - Employer pension contributionsThe demand for this service can offer you work to suit your availability, in your local schools and in the year groups you prefer to teach in.Whether you are looking for perm, long term, short term or ad hoc teaching positions, please get in touch.APPLICATION REQUIREMENTS FOR VERITAS EDUCATION - All applications are subject to an Enhanced DBS Disclosure, professional reference checks, Overseas Police Clearances (if applicable) in line with our stringent safeguarding policy - Your CV must cover the last 10 years of employment history where possible and all employment breaks must be explained - You must have legal right to work in the UK - You must be willing to attend a registration interviewVeritas Education work with a variety of schools covering a wide geographical area. We deal with teaching placements at Primary, Secondary and college level as well as support staff positions also within these.Disclaimer'Nothing within the above advert was in any way designed or intended to discriminate on the grounds of age, gender, race, colour, religion, disability or sexual orientation. Veritas Education is an Equal opportunities employer and is proud in the knowledge that all placements are made on merit and suitability. We accept applications from all sections of the community.'                ",https://findajob.dwp.gov.uk/details/13888224
Teachers,senploy,Aldershot,"
                    Teacher Required Full-Time in Aldershot!Teaching personnel require more Teachers in Aldershot due to an increasing demand for hardworking, versatile & personable individuals. The need for Teachers within our agency is at an all time high and the beauty of supply is that YOU choose how often you work!We would like to see applicants who: - Are patient and effective communicators with children - Have QTS and a DBS that is on the Update Service - Be patient & empathetic whilst able to push students to achieve their best. - Be an imaginative, problem solver and good communicator. - Be ready to make a profound difference in pupil's education. - Be able to offer part-time of full-time availability.Benefits: - You will be making a profound difference to those who need help most. - Full-time or Part-time work available. - Flexible working arrangements around your schedule and commitments - Dedicated personal consultant. - Weekly pay - Pension Scheme - Unrivalled access to Hampshire Primary Schools We encourage both ECT's and experienced Teachers to apply!If you feel that you are ready to make the positive change to supply, then email with an updated CV.All applicants will require the appropriate qualifications and training for this role. Please see the FAQ's on the Teaching Personnel website for details.All pay rates quoted will be inclusive of 12.07% statutory holiday pay. This advert is for a temporary position. In some cases, the option to make this role permanent may become available at a later date.Teaching Personnel is committed to safeguarding and promoting the welfare of children. We undertake safeguarding checks on all workers in accordance with DfE statutory guidance 'Keeping Children Safe in Education' this may also include an online search as part of our due diligence on shortlisted applicants.We offer all our registered candidates FREE child protection and prevent duty training. All candidates must undertake or have undertaken a valid enhanced Disclosure and Barring Service (DBS) check. Full assistance provided.For details of our privacy policy, please visit the Teaching Personnel website.                ",https://findajob.dwp.gov.uk/details/13777651
Teacher,senploy,"Trafford, Greater Manchester","
                    Prospero Teaching are currently recruiting Teachers to work in a Primary School in Trafford, Manchester.The school is committed to supporting staff and provide an exciting learning curriculum for children to encourage learning, independence and the skills needed for daily life.The role would ideally suit a candidate with prior teaching experience, and would have the ability to adapt to the needs of the class and students.Whether you are an ECT, a currect teacher or a qualified teacher who is looking to slowly return to the workforce, we have roles for you in Trafford! Get in touch with me today.If you are a passionate individual with the drive to encourage children to succeed and thrive, apply now!CONTRACT/POSITION DETAILS - Location - Trafford - Position - Primary School Teacher - Contract type - Temporary - Full time/part time - Full time - Hours - 8:00am - 4:00pmEXPERIENCE, TRAINING AND QUALIFICATIONS - Teaching qualification with QTS - Previous experience working in a UK school - Up to date Safeguarding training issued in the last year (desirable however not essential as some training is provided)TO BE ELIGIBLE FOR THIS ROLE THROUGH PROSPERO TEACHING, YOU MUST: - Hold Right to Work in the UK - Hold an enhanced child barred list DBS certificate registered with the online update service or be willing to process a new application - Provide two professional child related referencesOTHERIf you would like to be considered for this role, please apply with a copy of your up-to-date CV. Unfortunately, only shortlisted candidates will be contacted.Prospero Teaching is acting as an employment business/education recruitment agency in relation to this vacancy. The successful candidate will be required to register with Prospero Teaching in order to fill this vacancy.Prospero Teaching is able to offer the successful candidate: - Free, accredited continued professional development courses including safeguarding and behaviour management - In-house Training and Development TeamIf this role is of interest to you, click 'Apply Now'. ",https://findajob.dwp.gov.uk/details/13771183
