title,company,location,description,link
Senior Nursing Care Assistant (Nights),Linc-Cymru,"Cardiff, CF14 5UW","Senior Nursing Care Assistant (Nights)£14.02 per hour (£28,809.00 per annum)Ty Coch Nursing Home, CF14 5UWThe opportunity:Linc Cymru are offering the opportunity to join our team as a Senior Nursing Care Assistant, working within our Nursing Home in Cardiff. You will have the drive, commitment, and compassion to help support our residents to consistently provide a high-quality standard of care. You will work as part of a team to assist in ensuring the efficient running of the home on a day-to-day basis.What we need from you:In this role, you will have the chance to use your skills and knowledge to take on more responsibility and develop professionally, with the support from the nursing and managerial team within the home.Senior Nursing Care Assistant provides an essential role in contributing to the smooth running of our nursing care homes for older people. You should have an NVQ Level 3, overseas PIN, or higher qualification in social care to apply for this role. The role is an enhanced senior care assistant role that will, after being trained and assessed as competent under the guidance of registered nurses, you will undertake clinical tasks which may include medication administration, observations, check blood sugar levels, change simple dressings, liaise with MDT's, administer ear and eye drops, PEG feeding, catheter care and colostomy care.The Senior Nursing Care Assistant will be tasked to develop, review, and update the resident's individualised care plans to meet their changing physical, social and psychological needs. Senior Nursing Care Assistants will promote high standards of care by ensuring all team members are trained and supervised appropriately and will communicate professionally and warmly with visitors, family members, and other health care professionals.-Experience in working with Elders - This role is based within a nursing home setting so experience of working with the elders is essential-Ability to show empathy, understanding and experience in a care setting - You will be expected to work closely with our residents and be able to identify their specific needs-Well-developed time management skills with the ability to work under pressure - to ensure the smooth running of the home's routine.-Ability to make balanced, clear, and timely decisions to ensure the best decisions and outcomes are met for our residents, by taking a pro-active approach in consulting and involving others in decision making.-Takes a pro-active approach to consulting and involving others in decision making process as appropriate.-Step into Care Assistant role as and when required-IT skills - Microsoft Office.What we will offer in return:-Free onsite parking-Near good transport links-Free uniform-Free Enhanced DBS check-28 days holiday-Dedicated Learning & Development team to support with any training needs-Flexible working patterns- excellent work life balance with 2 week rolling rota-Opportunity for progression-Perkbox discounts-Access to Blue Light Card Scheme-Wellbeing supportWhat's it like to work at Linc?Linc are passionate, ambitious, and respectful. We take pride in everything we do; we are creating a happier, healthier Wales.We are creating an environment for people to flourish; we offer training, support, and career opportunities.We offer great work life balance, competitive salaries, excellent benefits, wellbeing support and much more!Our customers are at the heart of everything we do, so in one word - working at Linc is rewarding.What's next?The advert will close at 23:45 on 13thFebruary 2024We reserve the right to close the advert before this date once we are in receipt of sufficient applications.",https://findajob.dwp.gov.uk/details/13703142
NURSE,Time Recruitment Solutions Ltd,"Liverpool, Merseyside, L25 7UU","Registered NurseLiverpool / £19.00 / Perm - Days /Registered Nurse required. My client is a family run Healthcare Provider with over 30 years' experience and 18 homes across the country. This ""Top 20 Care Home Group"" has won this accolade for over 5 years' running is dedicated to enhancing the wellbeing of all through quality, excellence and fun. This service located in Liverpool is recruiting for a Registered Nurse on Days, the home is recognised in the local areas as the nursing home which delivers a standard of end of life which is 'way and above' other nursing environments. The excellent standard of nursing care is well known among local clinical professionals.Benefits for the Registered Nurse include:* £19 per hour* Birthday Duvet day* Free DBS (England) check.* NMC fees Paid* Company Pension* Perkbox Account* Blue Light Care* Recommend a friend scheme* Free uniform* Excellent induction and ongoing training* Opportunity to progressRegistered Nurse Position Overview:* Provide nursing care under the direction of the Manager in accordance with current best practice, and according to legislative requirements and all policy, procedures, and agreed standards.* Develop the Care Planning activities for residents, to meet their changing needs and in collaboration with their family and friends (where appropriate) and members of the multi-disciplinary team.* Ensure the care needs of residents are met in a way that respects their dignity and privacy, providing person-centred care that promotes independence and choice.* Undertake all aspects of medicine management in line with legal, professional and regulatory requirements.* Be responsible for promoting and safeguarding the welfare of those individuals they supportRegister Nurse Position Requirements:* Registered Nurse with Valid Pin* Excellent knowledge of all Standards and NMC code of practice* Proven track record of person-centred care planning* Experienced leader and mentor* A passion for delivering high standards of careFor further information or to apply please contact Amanda at Time Recruitment or alternatively apply below.Time Recruitment Solutions Ltd is acting as an Employment Agency in relation to this vacancy.",https://findajob.dwp.gov.uk/details/13825939
Nurse,CS UK Recruitment Ltd,PR8 1BE,"A fantastic new job opportunity has arisen for a committed Registered Nurse to work in an exceptional nursing home based in the Southport, Merseyside area. You will be working for one of UK's leading health care providersThis care home has a wide range of specialist nursing care provided at the home is of an excellent standard. This is a home where the nursing and care team have a depth of experience 'second to none'**To be considered for this position you must be qualified as a Registered Nurse with a current active NMC Pin**As a Nurse your key duties include:• Working closely with the care and management team, you will promote high standards of nursing care• Ensure all staff are supervised appropriately and the shift runs in a smooth and efficient manner• Perform all general nursing duties, following CQC and NMC guidelines, update care plans and administer safe medication• Being dependable and flexible in order to meet the needs of the resident and the homeThe following skills and experience would be preferred and beneficial for the role:• Able to work under pressure and prioritise workload• The ability to lead a team, analyse problems and propose solutions or improvements• Able to communicate effectively and to develop professional relationships• Understands and effectively uses IT and communication systems required for the role• Experience of participating in quality and clinical governance programmes• Able to show a can-do attitude alwaysThe successful Nurse will receive an excellent salary of £21.00 per hour and the annual salary is up to £52,416 per annum. We currently have permanent vacancies for both days and night shifts available. In return for your hard work and commitment you will receive the following generous benefits:**Paid Breaks**• Comprehensive induction and on-going training• Career development opportunities• Excellent work environment• Free parking on site• Free uniform• 5.6 weeks of paid annual leaveReference ID: 3355To apply for this fantastic job role, please call on 0121 638 0567 or send your CV to contact@jupiterrecruitment.co.uk",https://findajob.dwp.gov.uk/details/13845183
Nurse,CS UK Recruitment Ltd,PR8 1BE,"A fantastic new job opportunity has arisen for a committed Registered Nurse to work in an exceptional nursing home based in the Southport, Merseyside area. You will be working for one of UK's leading health care providersThis care home has a wide range of specialist nursing care provided at the home is of an excellent standard. This is a home where the nursing and care team have a depth of experience 'second to none'**To be considered for this position you must be qualified as a Registered Nurse with a current active NMC Pin**As a Nurse your key duties include:• Working closely with the care and management team, you will promote high standards of nursing care• Ensure all staff are supervised appropriately and the shift runs in a smooth and efficient manner• Perform all general nursing duties, following CQC and NMC guidelines, update care plans and administer safe medication• Being dependable and flexible in order to meet the needs of the resident and the homeThe following skills and experience would be preferred and beneficial for the role:• Able to work under pressure and prioritise workload• The ability to lead a team, analyse problems and propose solutions or improvements• Able to communicate effectively and to develop professional relationships• Understands and effectively uses IT and communication systems required for the role• Experience of participating in quality and clinical governance programmes• Able to show a can-do attitude alwaysThe successful Nurse will receive an excellent salary of £21.00 per hour and the annual salary is up to £48,048 per annum. We currently have permanent vacancies for both days and night shifts available. In return for your hard work and commitment you will receive the following generous benefits:**Paid Breaks**• Comprehensive induction and on-going training• Career development opportunities• Excellent work environment• Free parking on site• Free uniform• 5.6 weeks of paid annual leaveReference ID: 3355To apply for this fantastic job role, please call on 0121 638 0567 or send your CV to contact@jupiterrecruitment.co.uk",https://findajob.dwp.gov.uk/details/13815481
Nurse,CS UK Recruitment Ltd,HR8 1AR,"An exciting job opportunity has arisen for dedicated Registered Nurse to work in an exceptional nursing home based in the Ledbury, Herefordshire area. You will be working for one of UK's leading healthcare providersThis service is a unique care hub with a Nursing Home, ABI (Acquired Brain Injury) Unit and ICU (Intermediate Care Unit). The nursing home has an overall ‘Good’ CQC rating and is currently working towards achieving “Outstanding”**To be considered for this position you must be qualified as a Registered Nurse with a current active NMC Pin**As a Nurse your key responsibilities include:• Ensure the highest possible standards of care, assessing residents' needs and wishes, and developing services to enhance their quality of life.• Champion appropriate independence and personal choice; developing, reviewing and updating care plans to meet our residents physical and social needs.• Oversee all aspects of medicine management on your shift – ensuring medicines are appropriately received, stored and administered, in accordance with company policies and current legislation.• Ensure all elements of resident experience are positive, from admission to discharge.• Ensure compliance with all legal, regulatory and best practice guidelines – identify, investigate and resolve risks proactively.• Ensure you follow a rigorous monitoring and recording practice; documenting efficiently, and thoroughly all matters relating to residents and employeesThe following skills and experience would be preferred and beneficial for the role:• Good Nursing Experience• Excellent Clinical Skills• Able to write Care Plans• Able to show Empathy and warmth• Able to carry out general nursing tasks such as Peg feeding, wound care, phlebotomy etc• To be an effective team leader and role model• To have the knowledge to make research based decisions regarding nursing care needsThe successful Nurse will receive an excellent salary of £20.50 per hour and the annual salary is up to £46,904 per annum. We currently have permanent vacancies for both days and night shifts available. In return for your hard work and commitment you will receive the following generous benefits:• The Annual Loyalty Bonus of £1,000• Our Service Incentive Scheme Bonus of up to £500 per annum• 35 days annual leave• Company Maternity Pay (after a qualifying period)• Bank holiday enhancements• Individual Training Voucher allowance of £350 for your PDP• Regular Clinical Supervision• Regional Nurse Forums and online Groups• Free access to RCNi e-learning• Support with NMC Revalidation• Individualised professional development programmes• Refer a Friend Scheme of up to £1,000• Retail/Leisure/Holiday and travel discounts• Paid DBS checkReference ID: 74To apply for this fantastic job role, please call on 0121 638 0567 or send your CV to contact@jupiterrecruitment.co.uk",https://findajob.dwp.gov.uk/details/13836558
Nurse,CS UK Recruitment Ltd,PR9 7RG,"An amazing new job opportunity has arisen for a committed Registered Nurse to work in an exceptional care home based in the Southport, Merseyside area. You will be working for one of UK’s leading health care providersThis is a purpose-built EMI nursing and residential home catering for older people suffering from all forms of dementia and related mental health conditions**To be considered for this role you must be qualified as a Registered Nurse with a current active NMC Pin**As a Nurse your key duties include:• Working closely with the care and management team, you will promote high standards of nursing care• Ensure all staff are supervised appropriately and the shift runs in a smooth and efficient manner• Perform all general nursing duties, following CQC and NMC guidelines, update care plans and administer safe medication• Being dependable and flexible in order to meet the needs of the resident and the homeThe following skills and experience would be preferred and beneficial for the role:• Good knowledge of the most up-to-date clinical practices• Experience of producing well-developed care plans and detailed risk assessments is important• An understanding of regulatory frameworks, including DoLs/MCA and Royal Pharmaceutical guidelines• Dedicated and compassionate and pride themselves on their person-centred, thoughtful approach to nursingThe successful Nurse will receive an excellent salary of £21.00 per hour and the annual salary is up to £48,048 per annum. We currently have permanent vacancies for both days and night shifts available. In return for your hard work and commitment you will receive the following generous benefits:**Paid Breaks**• Career development opportunities• Four weekly pay• Free on-site parking• Pension scheme• Enhanced rates for overtime• Excellent work environment• Paid DBS• 5.6 weeks of paid annual leave (pro rata)• 4 days accredited training per annum towards pin registration• NMC paidReference ID: 3352To apply for this fantastic job role, please call on 0121 638 0567 or send your CV to contact@jupiterrecruitment.co.uk",https://findajob.dwp.gov.uk/details/13815448
Nurse,CS UK Recruitment Ltd,B9 5SS,"An amazing job opportunity has arisen for a motivated Registered Nurse to work in an exceptional nursing home based in the Birmingham, West Midlands area. You will be working for one of UK’s leading health care providersThis nursing home specialises in providing individualised residential and nursing care that supports residents with their personal needs**To be considered for this position you must be qualified as an Registered Nurse with a current active NMC Pin**As a Nurse your key duties include:• Act at all times in line with NMC Code of Professional Conduct & maintain registration requirements• Responsible for the effective deployment and supervision of staff within the care team, ensuring all tasks are completed during the period of duty and residents receive required care• Undertake nursing tasks including distribution of medication, dressings, catheterisation, tube feeding and management of chronic medical conditions• Provide staff support, demonstration and instruction of care activities, particularly in relation to the induction and mentoring of new staff• Contribute to and attend staff meetings and training sessions• Liaise with health and social care professionals involved in the wellbeing of individual residents to maintain a holistic approach to their careThe following skills and experience would be preferred and beneficial for the role:• Experience of delivering nursing care within elderly health care sector• Dementia experience• Able to show a can-do attitude always• Clinical skills• Able to write care plans• The ability to lead a team, analyse problems and propose solutions or improvementsThe successful Nurse will receive an excellent salary of £19.00 per hour and the annual salary is up to £43,472 per annum. We currently have permanent vacancies for both days and night shifts available. In return for your hard work and commitment you will receive the following generous benefits:• 28 days holiday (FTE) (including bank holidays)• Great pay (plus annual pay reviews!)• Paid Breaks• Reimbursement for Annual Nurse PIN registration cost• Exciting opportunities for career progression (and we have lots of staff who can tell you about their progression!)• Enhanced Bank Holiday rates at Christmas and New Year at Double time, all other bank holiday paid at Time and a Half• Supportive and bespoke Induction Training Programmes, ongoing training and development and nationally recognised qualifications• Paid online learning time• Refer a friend or resident bonus scheme• Pension contributions• Free Uniform• Free DBS Check*• An excellent range of discounts for restaurants, shops, cinemas, days out and more!• Annual Staff Awards Programme across all our Homes celebrating our great staff• Opportunity to work in beautifully appointed interior designed homes• Opportunity to work for an award-winning Care Home providerReference ID: 4063To apply for this fantastic job role, please call on 01216380567 or send your CV to contact@jupiterrecruitment.co.uk",https://findajob.dwp.gov.uk/details/13799803
Nurse,CS UK Recruitment Ltd,DE4 2JE,"We are currently recruiting for a committed Registered Nurse to work in an exceptional care home based in the Bakewell, Derbyshire area. You will be working for one of UK's leading health care providersThis special care home provides specialist nursing care across three areas. A young physically disabled unit provides 24 hour nursing care, the Elizabethan style nursing unit also offers 24 hours care and the elderly residential and residential dementia unit provides secure, yet sensory driven environment for residents**To be considered for this position you must be qualified as a Registered Nurse with a current active NMC Pin**As a Nurse your key duties include:• Ensure the highest possible standards of care, assessing residents' needs and wishes, and developing services to enhance their quality of life• Champion appropriate independence and personal choice; developing, reviewing and updating care plans to meet our residents physical and social needs• Oversee all aspects of medicine management on your shift – ensuring medicines are appropriately received, stored and administered, in accordance with company policies and current legislation• Ensure all elements of resident experience are positive, from admission to discharge• Ensure compliance with all legal, regulatory and best practice guidelines – identify, investigate and resolve risks proactively• Ensure you follow a rigorous monitoring and recording practice; documenting efficiently, and thoroughly all matters relating to residents and employeesThe following skills and experience would be preferred and beneficial for the role:• Good Nursing Experience• Excellent Clinical Skills• Able to write Care Plans• Able to show Empathy and warmth• Able to carry out general nursing tasks such as Peg feeding, wound care, phlebotomy etc• To be an effective team leader and role model• To have the knowledge to make research based decisions regarding nursing care needsThe successful Nurse will receive an excellent salary of £17.30 per hour and the annual salary for this position is up to £39,582.40 per annum. We currently have permanent vacancies for both days and night shifts available. In return for your hard work and commitment you will receive the following generous benefits:**Paid Breaks**• Pension• 28 days holiday• 1.5 x wages on Christmas and new years• Onsite parking• Staff uniform• Subsidised meals• Annual performance reviewReference ID: 4191To apply for this fantastic job role, please call on 0121 638 0567 or send your CV to contact@jupiterrecruitment.co.uk",https://findajob.dwp.gov.uk/details/13815507
Nurse,CS UK Recruitment Ltd,DE4 2JE,"We are currently recruiting for a committed Registered Nurse to work in an exceptional care home based in the Bakewell, Derbyshire area. You will be working for one of UK's leading health care providersThis special care home provides specialist nursing care across three areas. A young physically disabled unit provides 24 hour nursing care, the Elizabethan style nursing unit also offers 24 hours care and the elderly residential and residential dementia unit provides secure, yet sensory driven environment for residents**To be considered for this position you must be qualified as a Registered Nurse with a current active NMC Pin**As a Nurse your key duties include:• Ensure the highest possible standards of care, assessing residents' needs and wishes, and developing services to enhance their quality of life• Champion appropriate independence and personal choice; developing, reviewing and updating care plans to meet our residents physical and social needs• Oversee all aspects of medicine management on your shift – ensuring medicines are appropriately received, stored and administered, in accordance with company policies and current legislation• Ensure all elements of resident experience are positive, from admission to discharge• Ensure compliance with all legal, regulatory and best practice guidelines – identify, investigate and resolve risks proactively• Ensure you follow a rigorous monitoring and recording practice; documenting efficiently, and thoroughly all matters relating to residents and employeesThe following skills and experience would be preferred and beneficial for the role:• Good Nursing Experience• Excellent Clinical Skills• Able to write Care Plans• Able to show Empathy and warmth• Able to carry out general nursing tasks such as Peg feeding, wound care, phlebotomy etc• To be an effective team leader and role model• To have the knowledge to make research based decisions regarding nursing care needsThe successful Nurse will receive an excellent salary of £17.30 per hour and the annual salary for this position is up to £39,582.40 per annum. We currently have permanent vacancies for both days and night shifts available. In return for your hard work and commitment you will receive the following generous benefits:**Paid Breaks**• Pension• 28 days holiday• 1.5 x wages on Christmas and new years• Onsite parking• Staff uniform• Subsidised meals• Annual performance reviewReference ID: 4191To apply for this fantastic job role, please call on 0121 638 0567 or send your CV to contact@jupiterrecruitment.co.uk",https://findajob.dwp.gov.uk/details/13823862
Nurse,CS UK Recruitment Ltd,B9 5SS,"An amazing job opportunity has arisen for a motivated Registered Nurse to work in an exceptional nursing home based in the Birmingham, West Midlands area. You will be working for one of UK’s leading health care providersThis nursing home specialises in providing individualised residential and nursing care that supports residents with their personal needs**To be considered for this position you must be qualified as an Registered Nurse with a current active NMC Pin**As a Nurse your key duties include:• Act at all times in line with NMC Code of Professional Conduct & maintain registration requirements• Responsible for the effective deployment and supervision of staff within the care team, ensuring all tasks are completed during the period of duty and residents receive required care• Undertake nursing tasks including distribution of medication, dressings, catheterisation, tube feeding and management of chronic medical conditions• Provide staff support, demonstration and instruction of care activities, particularly in relation to the induction and mentoring of new staff• Contribute to and attend staff meetings and training sessions• Liaise with health and social care professionals involved in the wellbeing of individual residents to maintain a holistic approach to their careThe following skills and experience would be preferred and beneficial for the role:• Experience of delivering nursing care within elderly health care sector• Dementia experience• Able to show a can-do attitude always• Clinical skills• Able to write care plans• The ability to lead a team, analyse problems and propose solutions or improvementsThe successful Nurse will receive an excellent salary of £19.00 per hour and the annual salary is up to £43,472 per annum. We currently have permanent vacancies for both days and night shifts available. In return for your hard work and commitment you will receive the following generous benefits:• 28 days holiday (FTE) (including bank holidays)• Great pay (plus annual pay reviews!)• Paid Breaks• Reimbursement for Annual Nurse PIN registration cost• Exciting opportunities for career progression (and we have lots of staff who can tell you about their progression!)• Enhanced Bank Holiday rates at Christmas and New Year at Double time, all other bank holiday paid at Time and a Half• Supportive and bespoke Induction Training Programmes, ongoing training and development and nationally recognised qualifications• Paid online learning time• Refer a friend or resident bonus scheme• Pension contributions• Free Uniform• Free DBS Check*• An excellent range of discounts for restaurants, shops, cinemas, days out and more!• Annual Staff Awards Programme across all our Homes celebrating our great staff• Opportunity to work in beautifully appointed interior designed homes• Opportunity to work for an award-winning Care Home providerReference ID: 4063To apply for this fantastic job role, please call on 01216380567 or send your CV to contact@jupiterrecruitment.co.uk",https://findajob.dwp.gov.uk/details/13852461
